SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2371 Osage Trl,Wadsworth,OH,44281,564800,4,4.5,Osage Lake Estate,5780,252212,1996,85,98,48,Active,,,http://www.redfin.com/OH/Wadsworth/2371-Osage-Trl-44281/home/70506065,Yes MLS,4084069,N,Y,41.063636,-81.773491
MLS Listing,,Single Family Residential,1024 Clark Rd,Wadsworth,OH,44281,214900,3,2.5,Wadsworth,2370,12196,1978,1,91,,Active,,,http://www.redfin.com/OH/Wadsworth/1024-Clark-Rd-44281/home/66221282,Yes MLS,4119133,N,Y,41.0508916,-81.7362885
MLS Listing,,Single Family Residential,258 Tolbert St,Wadsworth,OH,44281,135000,3,2.0,Wadsworth,1430,10454,1952,1,94,,Pre On-Market,,,http://www.redfin.com/OH/Wadsworth/258-Tolbert-St-44281/home/70511892,Yes MLS,4118817,N,Y,41.0343752,-81.7350916
MLS Listing,,Single Family Residential,1614 Buckhurst Run,Wadsworth,OH,44281,255000,3,2.0,Tiberon Trace Sub Ph 5,3206,13939,2016,2,80,22,Active,,,http://www.redfin.com/OH/Wadsworth/1614-Buckhurst-Run-44281/home/103994750,Yes MLS,4118576,N,Y,41.0651978,-81.7188032
MLS Listing,,Single Family Residential,1125 Kings Ridge Blvd,Wadsworth,OH,44281,550000,5,4.5,Reserve At Kings Ridge,5303,87120,2004,2,104,,Active,July-28-2019 02:30 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/Wadsworth/1125-Kings-Ridge-Blvd-44281/home/63714130,Yes MLS,4118267,N,Y,41.1316587,-81.7272685
MLS Listing,,Single Family Residential,178 Wolf Ave,Wadsworth,OH,44281,159900,3,1.0,Wadsworth,1654,19166,1949,4,97,,Active,,,http://www.redfin.com/OH/Wadsworth/178-Wolf-Ave-44281/home/66178842,Yes MLS,4117631,N,Y,41.0378521,-81.7317573
MLS Listing,,Single Family Residential,394 N Lyman St,Wadsworth,OH,44281,119900,3,1.0,Wadsworth,1222,6534,1920,4,98,,Active,July-27-2019 01:00 PM,July-27-2019 03:00 PM,http://www.redfin.com/OH/Wadsworth/394-N-Lyman-St-44281/home/70513804,Yes MLS,4117642,N,Y,41.0334249,-81.727867
MLS Listing,,Single Family Residential,350 Brookpoint Cir,Wadsworth,OH,44281,296000,4,3.0,Springbrooke Allotment Ph I,2968,13503,1989,4,100,,Pre On-Market,August-1-2019 05:00 PM,August-1-2019 07:00 PM,http://www.redfin.com/OH/Wadsworth/350-Brookpoint-Cir-44281/home/70510774,Yes MLS,4117396,N,Y,41.0519221,-81.7391952
MLS Listing,,Single Family Residential,6363 Beach,Sharon Center,OH,44281,159900,3,1.0,Sharon Center,1440,131551,1940,5,111,,Active,,,http://www.redfin.com/OH/Sharon-Center/6363-Beach-Unknown/home/160387388,Yes MLS,4117310,N,Y,41.101718,-81.754635
MLS Listing,,Single Family Residential,786 Robin Dr,Wadsworth,OH,44281,169000,3,2.0,Wadsworth,1754,21780,1959,8,96,,Active,,,http://www.redfin.com/OH/Wadsworth/786-Robin-Dr-44281/home/70519083,Yes MLS,4112728,N,Y,41.015274,-81.7051822
MLS Listing,,Single Family Residential,7696 Boneta Rd,Wadsworth,OH,44281,265000,3,3.0,Sharon,1800,87120,1978,8,147,,Active,,,http://www.redfin.com/OH/Wadsworth/7696-Boneta-Rd-44281/home/66478249,Yes MLS,4114009,N,Y,41.0646124,-81.7778904
MLS Listing,,Single Family Residential,492 Arcadia Rd,Wadsworth,OH,44281,243338,3,2.5,Bayberry Estates,2185,11325,2005,9,111,50,Active,,,http://www.redfin.com/OH/Wadsworth/492-Arcadia-Rd-44281/home/70464792,Yes MLS,4116089,N,Y,41.0058665,-81.7159491
MLS Listing,,Single Family Residential,329 Great Oaks Trl,Wadsworth,OH,44281,192500,3,2.5,Chestnut Meadows,2682,13068,1979,9,72,,Active,July-28-2019 12:00 PM,July-28-2019 02:00 PM,http://www.redfin.com/OH/Wadsworth/329-Great-Oaks-Trl-44281/home/70510805,Yes MLS,4115517,N,Y,41.04862,-81.73812
MLS Listing,,Single Family Residential,575 Trease Rd,Wadsworth,OH,44281,349900,4,3.5,Township/Wadsworth 8,2404,24829,2019,9,146,,Active,,,http://www.redfin.com/OH/Wadsworth/575-Trease-Rd-44281/home/167559069,Yes MLS,4116088,N,Y,41.0122233,-81.7480974
MLS Listing,,Single Family Residential,2603 Blake Rd,Wadsworth,OH,44281,254000,4,2.0,Wadsworth 09,1850,130680,1973,11,137,,Active,,,http://www.redfin.com/OH/Wadsworth/2603-Blake-Rd-44281/home/70508271,Yes MLS,4115161,N,Y,41.046417,-81.7818848
MLS Listing,,Single Family Residential,7176 Harps Mill Dr,Wadsworth,OH,44281,529000,4,3.5,Harps Mill,4594,87991,2005,11,115,13,Active,July-28-2019 12:00 PM,July-28-2019 02:00 PM,http://www.redfin.com/OH/Wadsworth/7176-Harps-Mill-Dr-44281/home/70465874,Yes MLS,4115235,N,Y,41.0799358,-81.7112039
MLS Listing,,Townhouse,142 King St,Wadsworth,OH,44281,119900,5,3.0,Wadsworth,2632,4791,1911,11,46,,Pre On-Market,,,http://www.redfin.com/OH/Wadsworth/142-King-St-44281/home/70513230,Yes MLS,4115201,N,Y,41.0267845,-81.731287
MLS Listing,,Single Family Residential,94 Hahns Way,Wadsworth,OH,44281,514500,4,3.5,Townes End Estates,2994,90604,2001,13,172,,Active,,,http://www.redfin.com/OH/Wadsworth/94-Hahns-Way-44281/home/66648034,Yes MLS,4114978,N,Y,41.0601677,-81.6911131
MLS Listing,,Townhouse,241-243 Chestnut St,Wadsworth,OH,44281,99900,4,2.0,Wadsworth,1392,4791,1954,14,72,,Active,,,http://www.redfin.com/OH/Wadsworth/241-Chestnut-St-44281/unit-243/home/70518311,Yes MLS,4114701,N,Y,41.0192611,-81.7243775
MLS Listing,,Condo/Co-op,408 Shannon Dr,Wadsworth,OH,44281,199000,2,2.0,Meadows Condo,1523,,1991,14,131,220,Active,,,http://www.redfin.com/OH/Wadsworth/408-Shannon-Dr-44281/unit-17/home/70514011,Yes MLS,4114569,N,Y,41.03829,-81.7186889
MLS Listing,,Single Family Residential,163 Euclid Ave,Wadsworth,OH,44281,114500,3,1.0,Wadsworth,1028,8276,1947,15,111,,Active,,,http://www.redfin.com/OH/Wadsworth/163-Euclid-Ave-44281/home/66271612,Yes MLS,4114416,N,Y,41.0353007,-81.7313908
MLS Listing,,Single Family Residential,7197 Colonial Hills Dr,Wadsworth,OH,44281,799000,5,5.5,Colonial Hills,8012,90169,2001,15,100,,Active,,,http://www.redfin.com/OH/Wadsworth/7197-Colonial-Hills-Dr-44281/home/66345197,Yes MLS,4114490,N,Y,41.0788021,-81.741311
MLS Listing,,Single Family Residential,5860 Mcclelland Ct,Sharon,OH,44281,599000,5,4.5,Estates At Woodfield,4871,92782,2013,15,123,42,Active,,,http://www.redfin.com/OH/Wadsworth/5860-McClelland-Ct-44281/home/66708709,Yes MLS,4114471,N,Y,41.1167247,-81.7092251
MLS Listing,,Single Family Residential,167 Gordon Ave,Wadsworth,OH,44281,129900,3,1.0,Wadsworth,1756,7840,1928,15,74,,Active,,,http://www.redfin.com/OH/Wadsworth/167-Gordon-Ave-44281/home/66196714,Yes MLS,4113480,N,Y,41.0275066,-81.7163233
MLS Listing,,Single Family Residential,228 Duane Ln,Wadsworth,OH,44281,249900,4,3.5,Fawn Mdws,3212,10454,2006,15,78,,Active,July-28-2019 02:00 PM,July-28-2019 03:30 PM,http://www.redfin.com/OH/Wadsworth/228-Duane-Ln-44281/home/66178833,Yes MLS,4114225,N,Y,41.0091129,-81.7255584
MLS Listing,,Single Family Residential,7439 Harps Mill Dr,Wadsworth,OH,44281,574900,4,3.5,Harps Mill,3100,87120,2019,16,185,13,Active,,,http://www.redfin.com/OH/Wadsworth/7439-Harps-Mill-Dr-44281/home/144780158,Yes MLS,4113726,N,Y,41.072496,-81.713265
MLS Listing,,Single Family Residential,1543 Mchugh Ln,Wadsworth,OH,44281,849000,3,2.5,Hidden Lakes Of Sharon Sub Ph 1,3000,99752,2019,16,283,29,Active,,,http://www.redfin.com/OH/Wadsworth/Unknown-44281/home/144779843,Yes MLS,4113722,N,Y,41.122145,-81.74176
MLS Listing,,Vacant Land,5713 Graven Way,Wadsworth,OH,44281,199000,,,Hidden Lakes Of Sharon Sub Ph 1,,131115,,16,,29,Active,,,http://www.redfin.com/OH/Sharon-Township/Graven-Way-44281/home/113206683,Yes MLS,4113720,N,Y,41.119703,-81.74333
MLS Listing,,Vacant Land,568 Cello Cir,Wadsworth,OH,44281,125000,,,Harps Mill,,88426,,16,,13,Active,,,http://www.redfin.com/OH/Sharon-Township/Cello-Cir-44281/home/144780165,Yes MLS,4113694,N,Y,41.075222,-81.708059
MLS Listing,,Vacant Land,581 Cello Cir,Wadsworth,OH,44281,122500,,,Harps Mill,,112384,,16,,13,Active,,,http://www.redfin.com/OH/Sharon-Township/Cello-Cir-44281/home/144780164,Yes MLS,4113693,N,Y,41.073665,-81.708619
MLS Listing,,Vacant Land,7415 Harps Mill Dr,Wadsworth,OH,44281,107500,,,Harps Mill,,91476,,16,,13,Active,,,http://www.redfin.com/OH/Wadsworth/7415-Harps-Mill-Dr-44281/home/144780161,Yes MLS,4113691,N,Y,41.072527,-81.710171
MLS Listing,,Vacant Land,7431 Harps Mill Dr,Wadsworth,OH,44281,95000,,,Harps Mill,,87120,,16,,13,Active,,,http://www.redfin.com/OH/Wadsworth/7431-Harps-Mill-Dr-44281/home/144780159,Yes MLS,4113690,N,Y,41.072462,-81.712256
MLS Listing,,Vacant Land,7434 Harps Mill Dr,Wadsworth,OH,44281,95000,,,Harps Mill,,91911,,16,,13,Active,,,http://www.redfin.com/OH/Wadsworth/7434-Harps-Mill-Dr-44281/home/144449983,Yes MLS,4113687,N,Y,41.07359,-81.712933
MLS Listing,,Single Family Residential,437 High St,Wadsworth,OH,44281,149900,3,1.5,Wadsworth,1324,23958,1875,16,113,,Active,July-28-2019 01:00 PM,July-28-2019 02:30 PM,http://www.redfin.com/OH/Wadsworth/437-High-St-44281/home/70513749,Yes MLS,4114048,N,Y,41.0347551,-81.7288182
MLS Listing,,Single Family Residential,2328 Heights Dr,Wadsworth,OH,44281,699900,4,3.0,Sharon Heights Sub,4907,87991,2015,17,143,,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Wadsworth/2328-Heights-Dr-44281/home/66554389,Yes MLS,4112149,N,Y,41.0694964,-81.7718236
MLS Listing,,Single Family Residential,1432 State Rd,Wadsworth,OH,44281,246000,3,2.5,Greenbrier Farms,2470,24829,1987,17,100,,Active,July-28-2019 01:00 PM,July-28-2019 02:30 PM,http://www.redfin.com/OH/Wadsworth/1432-State-Rd-44281/home/70513338,Yes MLS,4112890,N,Y,41.0620749,-81.7291923
MLS Listing,,Single Family Residential,1529 Brentfield Dr NW,Wadsworth,OH,44281,449900,4,3.5,Tiberon Trace,3698,10890,2017,17,122,22,Active,,,http://www.redfin.com/OH/Wadsworth/1529-Brentfield-Dr-44281/home/104140067,Yes MLS,4112705,N,Y,41.064211,-81.7186749
MLS Listing,,Single Family Residential,3657 Kalie Cir,Wadsworth,OH,44281,358400,4,2.5,Guilford Farms,3212,98445,1998,18,112,,Active,July-28-2019 02:00 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/Wadsworth/3657-Kalie-Cir-44281/home/66184523,Yes MLS,4113008,N,Y,41.0451541,-81.8201092
MLS Listing,,Single Family Residential,540 Plum Creek Dr,Wadsworth,OH,44281,209900,3,2.5,Wadsworth,1859,11761,1993,18,113,,Active,,,http://www.redfin.com/OH/Wadsworth/540-Plum-Creek-Dr-44281/home/66530464,Yes MLS,4113009,N,Y,41.0129209,-81.7518466
MLS Listing,,Single Family Residential,490 Mcentee Dr,Wadsworth,OH,44281,234990,6,3.5,Oakwood,3336,12632,1970,18,70,,Active,July-28-2019 01:30 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Wadsworth/490-Mc-Entee-Dr-44281/home/66481262,Yes MLS,4112938,N,Y,41.0302665,-81.7157512
MLS Listing,,Single Family Residential,364 Edenmore Dr,Wadsworth,OH,44281,359900,4,2.5,Groves of Weatherstone,3062,10890,2018,18,118,21,Active,,,http://www.redfin.com/OH/Wadsworth/364-Edenmore-St-44281/home/66598800,Yes MLS,4112910,N,Y,41.060953,-81.738979
