SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2505 Deborah Dr,Beachwood,OH,44122,315000,3,2.5,Beachwood,1699,17859,1957,1,185,,Active,,,http://www.redfin.com/OH/Beachwood/2505-Deborah-Dr-44122/home/66168983,Yes MLS,4119115,N,Y,41.491439,-81.5076286
MLS Listing,,Single Family Residential,21961 Rye Rd,Shaker Heights,OH,44122,265000,4,2.5,Vansweringen Companys 44,3042,9583,1955,1,87,,Active,July-28-2019 02:00 PM,July-28-2019 03:30 PM,http://www.redfin.com/OH/Shaker-Heights/21961-Rye-Rd-44122/home/71046675,Yes MLS,4117635,N,Y,41.4750545,-81.5247777
MLS Listing,,Single Family Residential,18312 Lomond Blvd,Shaker Heights,OH,44122,79000,4,1.5,Vansweringen,1538,6534,1927,1,51,,Active,,,http://www.redfin.com/OH/Shaker-Heights/18312-Lomond-Blvd-44122/home/71052524,Yes MLS,4118936,N,Y,41.4601098,-81.5511525
MLS Listing,,Single Family Residential,3285 Somerset Dr,Beachwood,OH,44122,275000,4,2.5,Beachwood,2655,,1937,1,104,,Active,July-28-2019 02:30 PM,July-28-2019 04:30 PM,http://www.redfin.com/OH/Shaker-Heights/3285-Somerset-Dr-44122/home/71058137,Yes MLS,4118057,N,Y,41.4700876,-81.5318009
MLS Listing,,Single Family Residential,18429 Van Aken Blvd,Shaker Heights,OH,44122,189900,5,3.0,Vansweringen Companys 17,5441,12632,1952,3,35,,Active,,,http://www.redfin.com/OH/Shaker-Heights/18429-Van-Aken-Blvd-44122/home/66464891,Yes MLS,4118109,N,Y,41.4670082,-81.5499691
MLS Listing,,Single Family Residential,2963 Courtland Blvd,Shaker Heights,OH,44122,599000,6,5.0,Shaker Heights,4759,17859,1935,4,126,,Active,July-28-2019 12:00 PM,July-28-2019 01:30 PM,http://www.redfin.com/OH/Shaker-Heights/2963-Courtland-Blvd-44122/home/66198902,Yes MLS,4116578,N,Y,41.4755566,-81.5426086
MLS Listing,,Single Family Residential,23465 Letchworth Rd,Beachwood,OH,44122,315000,3,2.5,Shaker Country Estates 32,1801,13503,1956,4,175,,Active,July-28-2019 12:00 PM,July-28-2019 01:30 PM,http://www.redfin.com/OH/Beachwood/23465-Letchworth-Rd-44122/home/71058987,Yes MLS,4117604,N,Y,41.4674281,-81.5140171
MLS Listing,,Single Family Residential,2570 Edgewood Rd,Beachwood,OH,44122,255000,4,2.5,Fairmount Greens,1651,7405,1951,4,154,,Active,,,http://www.redfin.com/OH/Beachwood/2570-Edgewood-Rd-44122/home/66083970,Yes MLS,4117079,N,Y,41.4896216,-81.5129452
MLS Listing,,Single Family Residential,2673 Rochester Rd,Shaker Heights,OH,44122,319900,4,3.0,Van Sweringen Cos 30,3240,12196,1956,7,99,,Active,,,http://www.redfin.com/OH/Shaker-Heights/2673-Rochester-Rd-44122/home/66273855,Yes MLS,4117083,N,Y,41.4844102,-81.508454
MLS Listing,,Single Family Residential,20976 Claythorne Rd,Shaker Heights,OH,44122,575000,5,3.5,Vansweringen Companys 28,4300,15245,1940,7,134,,Pre On-Market,,,http://www.redfin.com/OH/Shaker-Heights/20976-Claythorne-Rd-44122/home/66560032,Yes MLS,4116852,N,Y,41.4840617,-81.5321935
