SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,811 Dubois Rd,Carlisle,OH,45005,93500,3,1.0,Carlisle,960,,,2,97,,Active,,,http://www.redfin.com/OH/Carlisle/811-Dubois-Rd-45005/home/75856841,Cincy MLS,1631358,N,Y,39.5708953,-84.3267792
MLS Listing,,Single Family Residential,3794 Knollbrook Dr,Franklin Twp,OH,45005,249900,4,2.0,Franklin Twp.,2001,13504,1983,2,125,,Active,,,http://www.redfin.com/OH/Franklin/3794-Knollbrook-Dr-45005/home/86214107,Cincy MLS,1631046,N,Y,39.4970681,-84.2829127
MLS Listing,,Single Family Residential,3618 Garrett Dr,Franklin Township,OH,45005,199000,3,3.0,Franklin Township,,,2019,3,,17,Active,,,http://www.redfin.com/OH/Franklin-Township/3618-Garrett-Dr-45005/home/161687859,Dayton MLS,796761,N,Y,39.4940631,-84.2746389
MLS Listing,,Single Family Residential,5837 Henderockson Rd,Turtle Creek Twp,OH,45005,169900,3,1.0,Turtle Creek Twp.,1560,,1956,4,109,,Active,,,http://www.redfin.com/OH/Franklin/5837-Hendrickson-Rd-45005/home/75865587,Cincy MLS,1631132,N,Y,39.4789426,-84.3157951
MLS Listing,,Single Family Residential,3630 Garrett Dr,Franklin Township,OH,45005,273000,4,3.0,Franklin Township,,,2019,4,,17,Active,,,http://www.redfin.com/OH/Franklin-Township/3630-Garrett-Dr-45005/home/167826408,Dayton MLS,796578,N,Y,39.4940631,-84.2746389
MLS Listing,,Single Family Residential,3621 Garrett Dr,Franklin Township,OH,45005,253000,3,2.0,Franklin Township,,,2019,5,,17,Active,,,http://www.redfin.com/OH/Franklin-Township/3621-Garrett-Dr-45005/home/148434498,Dayton MLS,796543,N,Y,39.4940631,-84.2746389
MLS Listing,,Single Family Residential,5355 Renaissance Park Dr,Middletown,OH,45005,339000,4,2.5,Middletown North,2984,16988,2004,7,114,61,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Middletown/5355-Renaissance-Park-Dr-45005/home/78820352,Cincy MLS,1630939,N,Y,39.4900053,-84.3056928
MLS Listing,,Single Family Residential,321 Cora Dr,Carlisle,OH,45005,179900,3,2.0,Gross Acres,1560,23866,1972,7,115,,Active,,,http://www.redfin.com/OH/Carlisle/321-Cora-Dr-45005/home/100825518,Dayton MLS,796422,N,Y,39.585839,-84.3398671
MLS Listing,,Single Family Residential,9673 Roberts Dr,Franklin Twp,OH,45005,139900,3,2.0,Franklin Twp.,1154,26441,1956,10,121,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Franklin/9673-Roberts-Dr-45005/home/75871519,Cincy MLS,1630301,N,Y,39.5831545,-84.2625101
MLS Listing,,Single Family Residential,265 Christina Way,Carlisle,OH,45005,249900,4,2.5,Carlisle,2350,15555,1995,11,106,,Active,,,http://www.redfin.com/OH/Carlisle/265-Christina-Way-45005/home/100826173,Cincy MLS,1630179,N,Y,39.5751463,-84.3248838
MLS Listing,,Single Family Residential,4681 S Dixie Hwy,Franklin,OH,45005,129900,4,1.0,East Plains,1882,32600,1952,11,69,,Active,July-28-2019 02:00 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/Franklin/4681-S-Dixie-Hwy-45005/home/78874657,Dayton MLS,795989,N,Y,39.513172,-84.333545
MLS Listing,,Townhouse,22 Highridge Ct,Franklin,OH,45005,74000,3,2.0,High Ridge Acres,1608,5662,1976,11,46,,Active,,,http://www.redfin.com/OH/Franklin/22-Highridge-Ct-45005/home/78831626,Dayton MLS,795925,N,Y,39.5650969,-84.2932145
MLS Listing,,Single Family Residential,48 Stadia Dr,Franklin,OH,45005,106900,3,1.0,Franklin,1073,6534,1955,14,100,,Active,,,http://www.redfin.com/OH/Franklin/48-Stadia-Dr-45005/home/75857658,Cincy MLS,1629631,N,Y,39.5654784,-84.2908088
MLS Listing,,Single Family Residential,4673 Todd Rd,Franklin Twp,OH,45005,139900,3,1.0,Franklin Twp.,1144,,1959,17,122,,Active,,,http://www.redfin.com/OH/Franklin/4673-Todd-Rd-45005/home/75858660,Cincy MLS,1629270,N,Y,39.4956447,-84.2916721
MLS Listing,,Single Family Residential,4705 Fisher Rd,Franklin Twp,OH,45005,184900,3,1.0,Franklin Twp.,1407,,1961,18,131,,Active,,,http://www.redfin.com/OH/Franklin/4705-Fisher-Rd-45005/home/100832806,Cincy MLS,1629155,N,Y,39.4971859,-84.2918777
MLS Listing,,Single Family Residential,7876 Marcia Dr,Franklin Twp,OH,45005,99900,3,1.0,Franklin Twp.,1196,,1955,18,84,,Active,,,http://www.redfin.com/OH/Franklin/7876-Marcia-Dr-45005/home/78918727,Cincy MLS,1629095,N,Y,39.5706878,-84.3431745
MLS Listing,,Single Family Residential,3662 Red Fox Run,Franklin Township,OH,45005,271096,4,3.0,Grey Cliff,,14357,,23,,46,Active,,,http://www.redfin.com/OH/Franklin/3662-Red-Fox-Run-45005/home/161478429,Dayton MLS,795220,N,Y,39.488724,-84.2718381
MLS Listing,,Single Family Residential,8675 Windsong Ct,Franklin,OH,45005,175000,3,2.0,Country Walk 3,1579,14174,2004,23,111,,Active,,,http://www.redfin.com/OH/Franklin/8675-Windsong-Ct-45005/home/78966654,Dayton MLS,795159,N,Y,39.5609345,-84.3586617
MLS Listing,,Single Family Residential,3662 Red Fox Rn,Franklin Twp,OH,45005,271096,4,2.5,Franklin Twp.,,14357,,23,,46,Active,,,http://www.redfin.com/OH/Middletown/3662-Red-Fox-Rn-45005/home/167172284,Cincy MLS,1628736,N,Y,39.48871,-84.27217
MLS Listing,,Single Family Residential,144 N Main St,Franklin,OH,45005,29000,1,1.0,Franklin,892,2134,1901,23,33,,Active,,,http://www.redfin.com/OH/Franklin/144-N-Main-St-45005/home/100829972,Cincy MLS,1628752,N,Y,39.5669069,-84.3001528
MLS Listing,,Single Family Residential,35 Oleander Dr,Franklin,OH,45005,229000,4,2.5,Franklin,2168,12197,2009,24,106,10,Active,,,http://www.redfin.com/OH/Franklin/35-Oleander-Dr-45005/home/78890513,Cincy MLS,1628600,N,Y,39.5389721,-84.282378
