SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7141 Claircrest Dr,Huber Heights,OH,45424,146650,3,3.0,Huber Heights,,11761,1971,1,,,Active,,,http://www.redfin.com/OH/Huber-Heights/7141-Claircrest-Dr-45424/home/75991564,Dayton MLS,796975,N,Y,39.8575975,-84.1336398
MLS Listing,,Single Family Residential,6431 Luton Ct,Dayton,OH,45424,99990,3,2.0,Huber,1080,8276,1963,1,93,,Active,,,http://www.redfin.com/OH/Dayton/6431-Luton-Ct-45424/home/100905325,Dayton MLS,796937,N,Y,39.8509707,-84.1150834
MLS Listing,,Single Family Residential,7601 Blossomview Ct,Huber Heights,OH,45424,150000,4,2.0,Herbert C Huber 40 Sec 11,1727,11325,1977,1,87,,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Huber-Heights/7601-Blossomview-Ct-45424/home/82861429,Dayton MLS,796893,N,Y,39.8621331,-84.1505006
MLS Listing,,Single Family Residential,7104 Citadel Dr,Dayton,OH,45424,139900,3,2.0,Dayton,1483,7840,1966,1,94,,Active,July-28-2019 02:00 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/Dayton/7104-Citadel-Dr-45424/home/75930904,Dayton MLS,796907,N,Y,39.8560065,-84.1156608
MLS Listing,,Single Family Residential,9574 S Palmer Rd,Bethel,OH,45424,449000,3,4.0,Bethel,3868,65644,1996,1,116,,Active,,,http://www.redfin.com/OH/Huber-Heights/9574-S-Palmer-Rd-45424/home/70670100,Dayton MLS,796927,N,Y,39.8811008,-84.0666862
MLS Listing,,Single Family Residential,6124 Falkland Dr,Dayton,OH,45424,89900,3,2.0,Herbert C Huber 34 Sec 03,1080,6534,1960,1,83,,Active,,,http://www.redfin.com/OH/Dayton/6124-Falkland-Dr-45424/home/75961032,Dayton MLS,796908,N,Y,39.8419027,-84.1252592
MLS Listing,,Single Family Residential,7650 Remmick Ln,Huber Heights,OH,45424,105000,3,2.0,Huber Homes,1170,7840,1968,2,90,,Active,,,http://www.redfin.com/OH/Dayton/7650-Remmick-Ln-45424/home/100901608,Dayton MLS,796768,N,Y,39.8640011,-84.1208984
MLS Listing,,Condo/Co-op,6672 Lexington Pl,Dayton,OH,45424,154900,2,2.0,Lexington Vlg/vlgs/pheasant Road,1632,1306,2004,2,95,354,Active,,,http://www.redfin.com/OH/Dayton/6672-Lexington-Pl-45424/home/148097597,Dayton MLS,796791,N,Y,39.8300472,-84.0987967
MLS Listing,,Single Family Residential,4912 Silver Arrow Dr,Riverside,OH,45424,136850,3,2.0,Forest Rdg 02 Sec 02,1562,9583,1967,3,88,20,Active,,,http://www.redfin.com/OH/Dayton/4912-Silver-Arrow-Dr-45424/home/100871350,Dayton MLS,796707,N,Y,39.8077454,-84.1168156
MLS Listing,,Single Family Residential,7613 Rothfield Dr,Huber Heights,OH,45424,71500,3,2.0,Herbert C Huber 40 Sec 03,1170,8276,1967,3,61,,Active,,,http://www.redfin.com/OH/Dayton/7613-Rothfield-Dr-45424/home/75991190,Dayton MLS,796678,N,Y,39.8629362,-84.1220118
MLS Listing,,Single Family Residential,6233 Longford Rd,Huber Heights,OH,45424,114000,3,1.0,Herbert C Huber Sec 4 37,1026,7840,1963,4,111,,Active,,,http://www.redfin.com/OH/Huber-Heights/6233-Longford-Rd-45424/home/100905087,Dayton MLS,796661,N,Y,39.8554806,-84.1226716
MLS Listing,,Single Family Residential,6516 Morrell Dr,Huber Heights,OH,45424,219900,3,3.0,Village Pheasant Ridge,1876,7405,2000,6,117,22,Active,,,http://www.redfin.com/OH/Dayton/6516-Morrell-Dr-45424/home/75906712,Dayton MLS,796501,N,Y,39.830694,-84.102188
MLS Listing,,Single Family Residential,6237 Longford Rd,Huber Heights,OH,45424,117900,3,2.0,Herbert C Huber 37 Sec 4,1301,7840,1963,7,91,,Active,,,http://www.redfin.com/OH/Dayton/6237-Longford-Rd-45424/home/75960968,Dayton MLS,796475,N,Y,39.8555503,-84.1224654
