SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4172 Caribou Ct,Deerfield Twp.,OH,45040,385000,5,4.0,Deerfield Twp.,3480,,1997,44,111,35,Active,,,http://www.redfin.com/OH/Mason/4172-Caribou-Ct-45040/home/78852548,Cincy MLS,1625154,N,Y,39.3252512,-84.2957841
MLS Listing,,Single Family Residential,772 Forsythe Pl,Mason,OH,45040,225000,3,2.5,Mason,1610,8141,1974,1,140,,Active,,,http://www.redfin.com/OH/Mason/772-Forsythe-Pl-45040/home/75860113,Cincy MLS,1631525,N,Y,39.3468526,-84.3460915
MLS Listing,,Single Family Residential,6834 summer field Dr,Mason,OH,45040,395000,4,3.5,Mason,4379,13068,2001,1,90,46,Active,,,http://www.redfin.com/OH/Mason/6834-Summer-Field-Dr-45040/home/71388406,Cincy MLS,1631630,N,Y,39.3394397,-84.300492
MLS Listing,,Single Family Residential,4101 Grasmere Rn,Mason,OH,45040,174900,2,2.0,Mason,1194,4151,2004,1,146,230,Active,,,http://www.redfin.com/OH/Mason/4101-Grasmere-Run-45040/home/78827706,Cincy MLS,1631649,N,Y,39.3854749,-84.2935226
MLS Listing,,Single Family Residential,9880 Country Hill Ct,Deerfield Twp.,OH,45040,235000,4,2.5,Deerfield Twp.,2236,14000,1993,1,105,28,Active,,,http://www.redfin.com/OH/Mason/9880-Country-Hill-Ct-45040/home/75874091,Cincy MLS,1631625,N,Y,39.2943004,-84.3490084
MLS Listing,,Single Family Residential,5415 Roseland Pl,Deerfield Twp.,OH,45040,399000,4,3.5,Deerfield Twp.,3356,14113,2004,1,119,34,Active,,,http://www.redfin.com/OH/Mason/5415-Roseland-Pl-45040/home/100817770,Cincy MLS,1631539,N,Y,39.36418,-84.3436265
MLS Listing,,Townhouse,5366 Parkway Dr #5366,Deerfield Twp.,OH,45040,396900,3,3.5,Deerfield Twp.,,,,1,,319,Active,,,http://www.redfin.com/OH/Mason/5366-Parkway-Dr-45040/unit-5366/home/167926778,Cincy MLS,1631519,N,Y,39.303188,-84.3151104
MLS Listing,,Townhouse,5360 Parkway Dr #5360,Deerfield Twp.,OH,45040,396900,3,3.5,Deerfield Twp.,,,,1,,319,Active,,,http://www.redfin.com/OH/Mason/5360-Parkway-Dr-45040/unit-5360/home/167925147,Cincy MLS,1631481,N,Y,39.303188,-84.3151104
MLS Listing,,Condo/Co-op,7400 Waterford Dr #101,Deerfield Twp.,OH,45040,165000,2,2.0,Deerfield Twp.,1584,,1994,2,104,204,Active,,,http://www.redfin.com/OH/Mason/7400-Waterford-Dr-45040/unit-101/home/78810971,Cincy MLS,1631352,N,Y,39.3291606,-84.2960143
MLS Listing,,Single Family Residential,5530 Irwin Simpson Rd,Deerfield Twp.,OH,45040,675000,4,3.5,Deerfield Twp.,,36155,,3,,350,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Mason/5530-Irwin-Simpson-Rd-45040/home/100820223,Cincy MLS,1631171,N,Y,39.309047,-84.323273
