SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1548 Vanderhoof Rd,New Franklin,OH,44203,290000,3,2.5,New Franklin,1892,218235,1930,1,153,,Active,,,http://www.redfin.com/OH/New-Franklin/1548-Vanderhoof-Rd-44203/home/66493693,Yes MLS,4119230,N,Y,40.966997,-81.577642
MLS Listing,,Single Family Residential,3731 Valley Dr,Norton,OH,44203,178500,3,1.5,Nash Heights Estates,2145,30056,1961,1,83,,Pre On-Market,,,http://www.redfin.com/OH/Norton/3731-Valley-Dr-44203/home/75512279,Yes MLS,4118869,N,Y,41.0323129,-81.6546599
MLS Listing,,Single Family Residential,23 20th St SW,Barberton,OH,44203,74900,3,1.0,Colonial Heights,,6534,1925,1,,,Active,,,http://www.redfin.com/OH/Barberton/23-20th-St-SW-44203/home/100630041,Yes MLS,4118711,N,Y,41.0093511,-81.6256637
MLS Listing,,Single Family Residential,3799 Birchbark Ave,Norton,OH,44203,305000,4,2.5,Stonewyck 01,3362,14810,2007,1,91,19,Active,,,http://www.redfin.com/OH/Norton/3799-Birchbark-Ave-44203/home/100626124,Yes MLS,4118544,N,Y,41.0294119,-81.6244222
MLS Listing,,Single Family Residential,125 Elmwood Ave,Barberton,OH,44203,75000,2,2.0,Romig,1000,3484,1926,1,75,,Pre On-Market,,,http://www.redfin.com/OH/Barberton/125-Elmwood-St-44203/home/100629756,Yes MLS,4118740,N,Y,41.0363166,-81.5834838
MLS Listing,,Single Family Residential,33 22nd St NW,Barberton,OH,44203,89900,3,1.0,Brady K Martin,1120,8276,1917,1,80,,Active,,,http://www.redfin.com/OH/Barberton/33-22nd-St-NW-44203/home/66247117,Yes MLS,4118664,N,Y,41.0100115,-81.6278791
MLS Listing,,Single Family Residential,220 30th St NW,Barberton,OH,44203,112900,3,1.5,West Side,1008,7840,1969,2,112,,Active,,,http://www.redfin.com/OH/Barberton/220-30th-St-NW-44203/home/66561666,Yes MLS,4118442,N,Y,41.0140928,-81.6374611
MLS Listing,,Single Family Residential,2812 Wadsworth Rd,Norton,OH,44203,99900,3,1.0,Frase Allotment,1160,60112,1953,3,86,,Active,,,http://www.redfin.com/OH/Norton/2812-Wadsworth-Rd-44203/home/75466979,Yes MLS,4116848,N,Y,41.0510633,-81.6290029
MLS Listing,,Single Family Residential,107 17th St NW,Barberton,OH,44203,79900,2,1.0,Moores Peerless,,6098,1904,3,,,Active,,,http://www.redfin.com/OH/Barberton/107-17th-St-NW-44203/home/100630121,Yes MLS,4118208,N,Y,41.0135435,-81.6241226
MLS Listing,,Single Family Residential,4054 Greenwich Rd,Norton,OH,44203,224900,3,2.0,Norton,1444,41817,2002,3,156,,Pre On-Market,,,http://www.redfin.com/OH/Norton/4054-Greenwich-Rd-44203/home/100641535,Yes MLS,4117896,N,Y,41.0249455,-81.6718309
