SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,12771 Cottonwood Ln,North Royalton,OH,44133,288000,4,3.0,Fallingwater 08,2650,15681,1991,23,109,,Active,,,http://www.redfin.com/OH/North-Royalton/12771-Cottonwood-Ln-44133/home/70903651,Yes MLS,4111057,N,Y,41.283722,-81.7806886
MLS Listing,,Condo/Co-op,11580 Harbour Light Dr,North Royalton,OH,44133,75000,2,1.5,Harbour Light Condo 02,1212,,1976,1,62,220,Active,,,http://www.redfin.com/OH/North-Royalton/11580-Harbour-Light-Dr-44133/home/70901636,Yes MLS,4119082,N,Y,41.327765,-81.769735
MLS Listing,,Condo/Co-op,11674 Harbour Light Dr,North Royalton,OH,44133,82500,3,1.5,North Royalton,1369,,1976,1,60,242,Active,,,http://www.redfin.com/OH/North-Royalton/11674-Harbour-Light-Dr-44133/unit-2/home/66235769,Yes MLS,4119048,N,Y,41.3277646,-81.7697317
MLS Listing,,Condo/Co-op,11586 Harbour Light Dr,North Royalton,OH,44133,109900,2,1.5,Harbour Light Condo 02,1212,,1976,1,91,220,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/North-Royalton/11586-Harbour-Light-Dr-44133/home/70901653,Yes MLS,4118950,N,Y,41.327765,-81.769735
MLS Listing,,Single Family Residential,11608 Glen Abbey,North Royalton,OH,44133,399900,3,3.0,Glen Abbey,,,2019,1,,,Active,,,http://www.redfin.com/OH/North-Royalton/11608-Glen-Abbey-Dr-44133/home/167927092,Yes MLS,4117287,N,Y,41.3336956,-81.7737648
MLS Listing,,Single Family Residential,7730 Pamela Dr,North Royalton,OH,44133,179900,3,2.5,North Royalton,2718,,1974,1,66,,Active,,,http://www.redfin.com/OH/North-Royalton/7730-Pamela-Dr-44133/home/70901999,Yes MLS,4118658,N,Y,41.3506238,-81.7421659
MLS Listing,,Single Family Residential,10860 Silver Tree Trl,North Royalton,OH,44133,469900,4,3.5,Trails,5823,22215,2005,3,81,25,Active,July-28-2019 02:00 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/North-Royalton/10860-Silver-Tree-Trl-44133/home/70712361,Yes MLS,4118119,N,Y,41.3033047,-81.7675295
MLS Listing,,Condo/Co-op,7585 Creekwood Dr Unit 23B,North Royalton,OH,44133,120000,2,2.5,Chaunticlair,1332,1065477,1979,4,90,202,Active,,,http://www.redfin.com/OH/North-Royalton/7585-Creekwood-Dr-44133/unit-23B/home/66559558,Yes MLS,4117639,N,Y,41.317524,-81.74099
MLS Listing,,Single Family Residential,6223 Hilary Dr S,North Royalton,OH,44133,209900,3,2.0,St Thomas Wood,1848,24829,1975,4,114,,Pre On-Market,,,http://www.redfin.com/OH/North-Royalton/6223-S-Hilary-Dr-S-44133/home/66322683,Yes MLS,4117466,N,Y,41.3238261,-81.7318428
MLS Listing,,Single Family Residential,9960 Applewood Dr,North Royalton,OH,44133,235000,4,2.5,Cedar Estates,2974,16988,1980,7,79,,Active,,,http://www.redfin.com/OH/North-Royalton/9960-Applewood-Dr-44133/home/66276560,Yes MLS,4113941,N,Y,41.3477762,-81.7694095
