SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4311 Valley Quail Blvd S,Westerville,OH,43081,204900,3,2.5,Blendon,1734,7405,1974,1,118,,Active,,,http://www.redfin.com/OH/Westerville/4311-Valley-Quail-Blvd-S-43081/home/79490777,CBRMLS,219027679,N,Y,40.0865546,-82.8994086
MLS Listing,,Vacant Land,0 Collingwood Dr,Westerville,OH,43082,138000,,,,,41382,,1,,,Active,,,http://www.redfin.com/OH/Genoa-Township/Collingwood-Dr-43082/home/167937044,CBRMLS,219027651,N,Y,40.123688,-82.909389
MLS Listing,,Single Family Residential,1196 Smoke Burr Dr,Westerville,OH,43081,349900,4,2.5,,3042,12632,1979,1,115,,Active,,,http://www.redfin.com/OH/Westerville/1196-Smoke-Burr-Dr-43081/home/75678528,CBRMLS,219027601,N,Y,40.11131,-82.8894017
MLS Listing,,Single Family Residential,547 Michael Ave,Westerville,OH,43081,259500,4,2.5,,1998,10890,1976,1,130,,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Westerville/547-Michael-Ave-43081/home/79487646,CBRMLS,219027516,N,Y,40.1310532,-82.9126927
MLS Listing,,Single Family Residential,6153 Albany Way Dr,Westerville,OH,43081,211900,3,2.5,,1584,3484,2005,1,134,89,Active,,,http://www.redfin.com/OH/Westerville/6153-Albany-Way-Dr-43081/home/79615945,CBRMLS,219027496,N,Y,40.0953775,-82.8525145
MLS Listing,,Condo/Co-op,6108 Sowerby Ln,Westerville,OH,43081,189900,3,2.5,,1834,2178,2007,2,104,210,Active,July-28-2019 01:00 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/Westerville/6108-Sowerby-Ln-43081/home/100718020,CBRMLS,219027436,N,Y,40.0907262,-82.8536298
MLS Listing,,Single Family Residential,197 Sassafras Way,Westerville,OH,43081,299900,4,2.5,,2327,7840,1988,2,129,,Active,,,http://www.redfin.com/OH/Westerville/197-Sassafras-Way-43081/home/75641199,CBRMLS,219027391,N,Y,40.1311386,-82.9166859
MLS Listing,,Single Family Residential,6135 Follensby Dr,Westerville,OH,43081,250000,3,2.5,,1719,4791,2014,2,145,89,Active,,,http://www.redfin.com/OH/Westerville/6135-Follensby-Dr-43081/home/79735911,CBRMLS,219027385,N,Y,40.0981039,-82.852809
MLS Listing,,Condo/Co-op,Lot 54 Blanton Dr,Westerville,OH,43081,330360,2,2.0,The Reserve at Eagle Trace,1935,,2019,2,171,124,Active,,,http://www.redfin.com/OH/Westerville/Lot-54-Blanton-DR-43081/home/167906156,Yes MLS,4118503,N,Y,40.1014036,-82.8963604
MLS Listing,,Condo/Co-op,5812 Blanton Dr,Westerville,OH,43081,330360,2,2.0,Blendon,1935,,2019,2,171,124,Active,,,http://www.redfin.com/OH/Westerville/5812-Blanton-DR-43081/home/167905987,CBRMLS,219027378,N,Y,40.088154,-82.862457
MLS Listing,,Single Family Residential,5487 Bullfinch Dr,Westerville,OH,43081,315000,4,2.5,,2300,7840,1997,2,137,13,Active,,,http://www.redfin.com/OH/Westerville/5487-Bullfinch-Dr-43081/home/79629211,CBRMLS,219027376,N,Y,40.0837648,-82.8624849
MLS Listing,,Single Family Residential,4384 Bitterroot Dr,Westerville,OH,43081,214500,3,2.0,Blendon,1388,7405,1973,2,155,,Active,,,http://www.redfin.com/OH/Westerville/4384-Bitterroot-Dr-43081/home/79623657,CBRMLS,219027319,N,Y,40.0887323,-82.897895
MLS Listing,,Single Family Residential,6728 Bethany Dr,Westerville,OH,43081,289999,4,3.0,,2300,9583,1995,2,126,,Active,,,http://www.redfin.com/OH/Westerville/6728-Bethany-Dr-43081/home/79717435,CBRMLS,219027309,N,Y,40.0985267,-82.8396813
MLS Listing,,Condo/Co-op,4782 Powderhorn Ln,Westerville,OH,43081,179900,2,2.0,,1247,1742,1974,2,144,269,Active,,,http://www.redfin.com/OH/Westerville/4782-Powderhorn-Ln-43081/unit-4/home/79584862,CBRMLS,219027270,N,Y,40.0857678,-82.8879743
MLS Listing,,Unknown,305 Myrtle Dr,Westerville,OH,43081,284900,,,,1664,8276,1961,3,171,,Active,,,http://www.redfin.com/OH/Westerville/305-Myrtle-Dr-43081/home/100758622,CBRMLS,219027196,N,Y,40.1270057,-82.9204944
MLS Listing,,Unknown,304 Myrtle Dr,Westerville,OH,43081,319000,,,,1976,11761,1962,3,161,,Active,,,http://www.redfin.com/OH/Westerville/304-Myrtle-Dr-43081/home/100758621,CBRMLS,219027177,N,Y,40.127506,-82.9204602
MLS Listing,,Single Family Residential,918 Prince William Ln,Westerville,OH,43081,279913,4,2.5,,2323,10890,1975,3,120,,Active,,,http://www.redfin.com/OH/Westerville/918-Prince-William-Ln-43081/home/75621488,CBRMLS,219027150,N,Y,40.1263823,-82.8994927
MLS Listing,,Condo/Co-op,5636 Pittsford Dr #1008,Westerville,OH,43081,189900,2,2.5,,1920,871,2010,3,99,185,Active,,,http://www.redfin.com/OH/Westerville/5636-Pittsford-Dr-43081/unit-1008/home/100721439,CBRMLS,219027135,N,Y,40.0952665,-82.8575621
MLS Listing,,Single Family Residential,5534 Oslo Dr,Westerville,OH,43081,204900,4,2.5,Blendon,2376,9147,1961,3,86,,Active,,,http://www.redfin.com/OH/Westerville/5534-Oslo-Dr-43081/home/79544394,CBRMLS,219027117,N,Y,40.0864585,-82.9192918
MLS Listing,,Condo/Co-op,6012 Turnwood Dr #704,Westerville,OH,43081,191900,2,2.5,,1954,871,2006,4,98,185,Active,July-27-2019 01:00 PM,July-27-2019 04:00 PM,http://www.redfin.com/OH/Westerville/6012-Turnwood-Dr-43081/unit-704/home/100715663,CBRMLS,219027020,N,Y,40.0943069,-82.8564035
MLS Listing,,Single Family Residential,800 Memories Ln Lot 60,Westerville,OH,43081,531744,4,3.0,,2593,12196,2019,4,205,46,Active,,,http://www.redfin.com/OH/Westerville/800-Memories-Ln-43081/unit-60/home/167837781,CBRMLS,219027011,N,Y,40.1321654,-82.9569927
MLS Listing,,Single Family Residential,242 Generations Way Lot 138,Westerville,OH,43081,472875,4,3.5,,2581,9583,2019,4,183,46,Active,,,http://www.redfin.com/OH/Westerville/11-W-College-Ave-43081/unit-138/home/167827718,CBRMLS,219026995,N,Y,40.1257715,-82.9319711
MLS Listing,,Single Family Residential,959 Lori Ln Lot 132,Westerville,OH,43081,478790,4,3.5,,3090,11761,2019,4,155,46,Active,,,http://www.redfin.com/OH/Westerville/959-Lori-Ln-43081/unit-132/home/167827661,CBRMLS,219026994,N,Y,40.131448,-82.964155
MLS Listing,,Condo/Co-op,1152 Green Knoll Dr,Westerville,OH,43081,208000,2,3.0,,1320,,2006,4,158,195,Active,,,http://www.redfin.com/OH/Westerville/1152-Green-Knoll-Dr-43081/home/100716288,CBRMLS,219026968,N,Y,40.1348231,-82.9860644
MLS Listing,,Single Family Residential,583 Leacrest Pl W,Westerville,OH,43081,228800,3,2.0,,1400,10018,1968,4,163,,Active,,,http://www.redfin.com/OH/Westerville/583-Leacrest-Pl-W-43081/home/79631072,CBRMLS,219026953,N,Y,40.1099536,-82.9172743
MLS Listing,,Single Family Residential,6169 Dajana Dr,Westerville,OH,43081,299900,4,2.5,,2305,5662,2016,5,130,40,Active,July-28-2019 02:00 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/Westerville/6169-Dajana-Dr-43081/home/100725295,CBRMLS,219026921,N,Y,40.1063612,-82.8569142
