SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,705 Knollwood Dr,Ashtabula,OH,44004,109900,2,2.0,Knollwood,2336,22651,1951,1,47,,Active,,,http://www.redfin.com/OH/Ashtabula/705-Knollwood-Dr-44004/home/76352510,Yes MLS,4118681,N,Y,41.8509569,-80.7894336
MLS Listing,,Vacant Land,Kain Ave,Ashtabula,OH,44004,80000,,,Kain,,22651,,2,,,Active,,,http://www.redfin.com/OH/Ashtabula/Kain-Ave-44004/home/101089886,Yes MLS,4118614,N,Y,41.86381,-80.808664
MLS Listing,,Single Family Residential,4324 Birchwood Ave,Ashtabula,OH,44004,62500,4,1.5,Fargo City,1332,3049,1918,2,47,,Active,,,http://www.redfin.com/OH/Ashtabula/4324-Birchwood-Ave-44004/home/66453040,Yes MLS,4118291,N,Y,41.866424,-80.773418
MLS Listing,,Single Family Residential,2014 E 31st St,Ashtabula,OH,44004,50000,3,1.0,Ashtabula,1166,10454,1956,3,43,,Active,,,http://www.redfin.com/OH/Ashtabula/2014-E-31st-St-44004/home/79821613,Yes MLS,4114618,N,Y,41.877474,-80.7703904
MLS Listing,,Single Family Residential,8221 Sanborn Rd,Ashtabula,OH,44004,164629,3,2.0,Saybrook,,170755,1967,3,,,Pre On-Market,,,http://www.redfin.com/OH/Ashtabula/8221-Sanborn-Rd-44004/home/66108822,Yes MLS,4117869,N,Y,41.8204255,-80.8220131
MLS Listing,,Single Family Residential,1735 E 48th St,Ashtabula,OH,44004,59900,3,1.0,Fargo,1056,3920,1915,4,57,,Active,,,http://www.redfin.com/OH/Ashtabula/1735-E-48th-St-44004/home/101087796,Yes MLS,4117535,N,Y,41.8625866,-80.7737666
MLS Listing,,Single Family Residential,2808 Rudd Rd,Ashtabula,OH,44004,92500,3,1.0,Corlow Allotment,,11761,1981,6,,,Active,,,http://www.redfin.com/OH/Ashtabula/2808-Rudd-Rd-44004/home/101090175,Yes MLS,4117249,N,Y,41.874979,-80.877903
MLS Listing,,Vacant Land,2400 Linwood Dr,Ashtabula,OH,44004,149900,,,Linwood,,15245,,7,,,Active,,,http://www.redfin.com/OH/Ashtabula/2400-Linwood-Dr-44004/home/167694191,Yes MLS,4117141,N,Y,41.8782802,-80.8739124
MLS Listing,,Single Family Residential,6225 Edward Ave,Ashtabula,OH,44004,109369,3,2.0,Ashtabula,1499,6534,1920,7,73,,Active,,,http://www.redfin.com/OH/Ashtabula/6225-Edward-Ave-44004/home/101093196,Yes MLS,4117017,N,Y,41.8486416,-80.7965304
MLS Listing,,Single Family Residential,2109 W 11th St,Ashtabula,OH,44004,26900,4,1.0,Marine,1456,10890,1910,7,18,,Active,,,http://www.redfin.com/OH/Ashtabula/2109-W-11th-St-44004/home/101080815,Yes MLS,4116832,N,Y,41.8896972,-80.8127555
MLS Listing,,Single Family Residential,3125 Chapel Rd,Ashtabula,OH,44004,147000,3,1.5,Saybrook,1340,37461,1957,8,110,,Active,,,http://www.redfin.com/OH/Ashtabula/3125-Chapel-Rd-44004/home/79946147,Yes MLS,4116554,N,Y,41.811466,-80.809882
MLS Listing,,Townhouse,1520 E 46th St,Ashtabula,OH,44004,56000,4,2.0,Fargo City,2167,6098,1900,9,26,,Active,,,http://www.redfin.com/OH/Ashtabula/1520-E-46th-St-44004/home/66580176,Yes MLS,4116146,N,Y,41.8640206,-80.776277
MLS Listing,,Single Family Residential,6335 Edward Ave,Ashtabula,OH,44004,38000,2,1.0,Bunker Hill,684,6534,1930,9,56,,Active,,,http://www.redfin.com/OH/Ashtabula/6335-Edward-Ave-44004/home/66177776,Yes MLS,4116005,N,Y,41.84715,-80.795913
MLS Listing,,Townhouse,3716 Lake Ave,Ashtabula,OH,44004,38000,6,2.0,Ashtabula,,8712,1900,9,,,Active,,,http://www.redfin.com/OH/Ashtabula/3716-Lake-Ave-44004/home/66580177,Yes MLS,4115968,N,Y,41.8736422,-80.7867938
MLS Listing,,Single Family Residential,3301 Center Rd,Ashtabula,OH,44004,129900,3,1.0,Ashtabula,1535,67518,1957,9,85,,Active,,,http://www.redfin.com/OH/Ashtabula/3301-Center-Rd-44004/home/76361732,Yes MLS,4115726,N,Y,41.871118,-80.858422
MLS Listing,,Single Family Residential,1861 Walnut Dr,Ashtabula,OH,44004,159000,3,1.5,Ashtabula,1166,3049,1921,10,136,18,Active,,,http://www.redfin.com/OH/Ashtabula/1861-Walnut-Dr-44004/home/101076953,Yes MLS,4114503,N,Y,41.881469,-80.8579087
MLS Listing,,Single Family Residential,3321 Austinburg Rd,Ashtabula,OH,44004,154900,3,2.0,Ashtabula,1750,41382,1967,10,89,,Active,,,http://www.redfin.com/OH/Ashtabula/3321-Austinburg-Rd-44004/home/66464631,Yes MLS,4115716,N,Y,41.816514,-80.81165
MLS Listing,,Single Family Residential,3730 Oak Ln,Ashtabula,OH,44004,189750,4,2.5,Meadowood Allotment,,,1976,11,,,Active,,,http://www.redfin.com/OH/Ashtabula/3730-Oak-Ln-44004/home/101083804,Yes MLS,4115333,N,Y,41.826854,-80.8074479
MLS Listing,,Vacant Land,Tryon Rd,Ashtabula,OH,44004,15000,,,Ashtabula,,117612,,11,,,Active,,,http://www.redfin.com/OH/Saybrook-Township/Tryon-Rd-44004/home/76355932,Yes MLS,4115577,N,Y,41.875554,-80.82595
MLS Listing,,Vacant Land,Wade Ave,Ashtabula,OH,44004,17500,,,Connecticut Western Reserve,,137214,,11,,,Active,,,http://www.redfin.com/OH/Saybrook-Township/Wade-Ave-44004/home/76362721,Yes MLS,4115574,N,Y,41.874991,-80.827059
MLS Listing,,Single Family Residential,3428 Vineland Ave,Ashtabula,OH,44004,119900,3,1.0,Erie,1312,8712,1954,11,91,,Active,,,http://www.redfin.com/OH/Ashtabula/3428-Vineland-Ave-44004/home/79938164,Yes MLS,4115416,N,Y,41.8742979,-80.7567977
MLS Listing,,Single Family Residential,5863 Runkle Ave,Ashtabula,OH,44004,34900,2,1.0,Runkle,812,14810,1900,11,43,,Active,,,http://www.redfin.com/OH/Ashtabula/5863-Runkle-Ave-44004/home/101091745,Yes MLS,4115343,N,Y,41.8529214,-80.7837212
MLS Listing,,Single Family Residential,2208 W Prospect Rd,Ashtabula,OH,44004,74900,3,1.5,Saybrook,1616,6534,1920,11,46,,Active,,,http://www.redfin.com/OH/Ashtabula/2208-W-Prospect-Rd-44004/home/79951339,Yes MLS,4114861,N,Y,41.8560458,-80.8136856
MLS Listing,,Single Family Residential,1529 Perryville Pl,Ashtabula,OH,44004,38900,2,2.0,Ruth Strong,884,,1952,11,44,,Active,,,http://www.redfin.com/OH/Ashtabula/1529-Perryville-Pl-44004/home/76361093,Yes MLS,4115154,N,Y,41.857159,-80.803798
MLS Listing,,Vacant Land,Wade Ave,Ashtabula,OH,44004,15000,,,Ashtabula,,115434,,11,,,Active,,,http://www.redfin.com/OH/Saybrook-Township/Wade-Ave-44004/home/76359529,Yes MLS,4115152,N,Y,41.874492,-80.826046
MLS Listing,,Vacant Land,Wade Ave,Ashtabula,OH,44004,45000,,,Connecticut Western Reserve,,370695,,11,,,Active,,,http://www.redfin.com/OH/Saybrook-Township/Wade-Ave-44004/home/66601390,Yes MLS,4115149,N,Y,41.874469,-80.812066
MLS Listing,,Single Family Residential,5229 Woodman Ave,Ashtabula,OH,44004,52000,3,1.5,Ashtabula,,11325,1972,13,,,Active,,,http://www.redfin.com/OH/Ashtabula/5229-Woodman-Ave-44004/home/76357928,Yes MLS,4114996,N,Y,41.859868,-80.809679
