SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8905 Ridge Rd,Wooster,OH,44691,249000,3,2.5,Pheasant Ridge,2018,57499,1996,1,123,1,Active,,,http://www.redfin.com/OH/Wooster/8905-Ridge-Rd-44691/home/70335002,Yes MLS,4118578,N,Y,40.9077355,-81.9837564
MLS Listing,,Condo/Co-op,2452 Barrington Way #418,Wooster,OH,44691,172500,2,2.0,Groves At Wetherington Condo,1398,,2005,1,123,194,Active,,,http://www.redfin.com/OH/Wooster/2452-Barrington-Way-44691/unit-418/home/70332657,Yes MLS,4118052,N,Y,40.8296886,-81.9617105
MLS Listing,,Single Family Residential,320 N Grant St,Wooster,OH,44691,79900,3,1.5,Wooster,1354,3049,1930,1,59,,Pre On-Market,,,http://www.redfin.com/OH/Wooster/320-N-Grant-St-44691/home/66248595,Yes MLS,4118350,N,Y,40.8004809,-81.9440407
MLS Listing,,Single Family Residential,924 Pittsburgh Ave,Wooster,OH,44691,155000,3,3.0,Wooster,2840,57063,1991,1,55,,Active,July-27-2019 12:00 PM,July-27-2019 01:30 PM,http://www.redfin.com/OH/Wooster/924-Pittsburgh-Ave-44691/home/66545947,Yes MLS,4118191,N,Y,40.798449,-81.926379
MLS Listing,,Single Family Residential,1036 Douglas Dr,Wooster,OH,44691,219900,4,2.5,Wooster,2178,13068,1987,1,101,,Active,,,http://www.redfin.com/OH/Wooster/1036-Douglas-Dr-44691/home/70364612,Yes MLS,4118061,N,Y,40.8087561,-81.958334
MLS Listing,,Single Family Residential,4400 Melrose Dr Unit 196 Pin,Wooster,OH,44691,69500,3,2.0,Wooster,1250,,2017,1,56,324,Active,,,http://www.redfin.com/OH/Wooster/4400-Melrose-Dr-44691/unit-196-Pin/home/167927091,Yes MLS,4118721,N,Y,40.8507159,-81.9158543
MLS Listing,,Vacant Land,1880 Williams Way,Wooster,OH,44691,13900,,,Brookfield Commons,,6098,,2,,,Active,,,http://www.redfin.com/OH/Wooster/1880-Williams-Way-44691/home/70362156,Yes MLS,4118356,N,Y,40.8257305,-81.9125884
MLS Listing,,Vacant Land,1860 Williams Way,Wooster,OH,44691,13900,,,Wooster,,5662,,2,,,Active,,,http://www.redfin.com/OH/Wooster/1860-Williams-Way-44691/home/70362155,Yes MLS,4118351,N,Y,40.8260035,-81.9125611
MLS Listing,,Vacant Land,1772 Williams Way,Wooster,OH,44691,12900,,,Wooster,,5662,,2,,,Active,,,http://www.redfin.com/OH/Wooster/1772-Williams-Way-44691/home/70362146,Yes MLS,4118338,N,Y,40.8262983,-81.9144215
MLS Listing,,Single Family Residential,2030 W Hutton Rd,Wooster,OH,44691,69900,3,2.0,Clear Creek Estate,1772,90169,1975,2,39,,Active,,,http://www.redfin.com/OH/Wooster/2030-W-Hutton-Rd-44691/home/70351860,Yes MLS,4118260,N,Y,40.8722885,-81.976812
MLS Listing,,Single Family Residential,8717 Angling Rd,Wooster,OH,44691,189900,4,2.0,Wooster,1976,49658,1989,3,96,,Active,,,http://www.redfin.com/OH/Wooster/8717-Angling-Rd-44691/home/70348092,Yes MLS,4117713,N,Y,40.7844169,-82.087587
MLS Listing,,Single Family Residential,4515 Buss Rd,Wooster,OH,44691,178900,3,2.0,Maple Grove,1782,23086,1972,4,100,,Active,,,http://www.redfin.com/OH/Wooster/4515-Buss-Rd-44691/home/70344401,Yes MLS,4117436,N,Y,40.7255855,-81.881568
MLS Listing,,Vacant Land,Firethorn,Wooster,OH,44691,48500,,,Wooster,,27442,,8,,,Active,,,http://www.redfin.com/OH/Wooster/Firethorn-Ln-44691/home/70332406,Yes MLS,4115572,N,Y,40.847576,-81.91807
