SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,428 2nd St NE,Massillon,OH,44646,61500,4,3,City/Massillon,1816,3049,1877,42,34,,Active,,,http://www.redfin.com/OH/Massillon/428-2nd-St-NE-44646/home/100796178,Yes MLS,4106007,N,Y,40.8010237,-81.5219484
MLS Listing,,Single Family Residential,214 21st St SE,Massillon,OH,44646,47900,3,1,York Village 01,982,6534,1962,43,49,,Active,,,http://www.redfin.com/OH/Massillon/214-21st-St-SE-44646/home/79875852,Yes MLS,4105858,N,Y,40.7961961,-81.4943353
MLS Listing,,Single Family Residential,3175 Inwood Dr NW,Massillon,OH,44646,325000,4,3.5,Hillsdale,3026,15245,1970,43,107,4,Active,,,http://www.redfin.com/OH/Massillon/3175-Inwood-Dr-NW-44646/home/75778888,Yes MLS,4102874,N,Y,40.8262899,-81.497344
MLS Listing,,Single Family Residential,1201 Valerie Ave NW,Massillon,OH,44646,1295000,6,8,Massillon,8041,266587,2005,44,161,,Active,,,http://www.redfin.com/OH/Massillon/1201-Valerie-Ave-NE-44646/home/100788047,Yes MLS,4105512,N,Y,40.8105117,-81.498571
MLS Listing,,Single Family Residential,1504 1st St NE,Massillon,OH,44646,49900,2,1.5,Massillon,974,4356,1937,48,51,,Active,,,http://www.redfin.com/OH/Massillon/1504-1st-St-NE-44646/home/80064828,Yes MLS,4104316,N,Y,40.8147825,-81.5258293
MLS Listing,,Single Family Residential,953 9th St NE,Massillon,OH,44646,84900,3,2,Massillon,1309,5662,1952,48,65,,Active,,,http://www.redfin.com/OH/Massillon/953-9th-St-NE-44646/home/79890166,Yes MLS,4095537,N,Y,40.8084058,-81.5144887
MLS Listing,,Single Family Residential,206 Austin Ave NW,Massillon,OH,44646,119900,3,1,Albert Snively,1152,6534,1954,52,104,,Active,,,http://www.redfin.com/OH/Massillon/206-Austin-Ave-NW-44646/home/75784157,Yes MLS,4102890,N,Y,40.7966276,-81.4758398
MLS Listing,,Single Family Residential,8950 Traphagen St NW,Massillon,OH,44646,206000,3,1.5,Massillon,2943,36154,1956,53,70,,Active,,,http://www.redfin.com/OH/Massillon/8950-Traphagen-St-NW-44646/home/75733231,Yes MLS,4102307,N,Y,40.8377073,-81.518433
MLS Listing,,Single Family Residential,745 Erie St N,Massillon,OH,44646,54900,3,1,Massillon,1260,3484,1920,54,44,,Active,,,http://www.redfin.com/OH/Massillon/745-Erie-St-N-44646/home/66216248,Yes MLS,4101547,N,Y,40.8042833,-81.5256779
MLS Listing,,Single Family Residential,7277 Gauntlet St SW,Massillon,OH,44646,244900,4,3,Knights Xing #1,2852,13939,2013,57,86,27,Active,,,http://www.redfin.com/OH/Massillon/7277-Gauntlet-Cir-SW-44646/home/100788923,Yes MLS,4097352,N,Y,40.7461274,-81.4915049
MLS Listing,,Townhouse,225 3rd St NE,Massillon,OH,44646,45000,3,2,City/Massillon,1524,2613,1897,58,30,,Active,,,http://www.redfin.com/OH/Massillon/225-3rd-St-NE-44646/home/75775696,Yes MLS,4100414,N,Y,40.7996234,-81.5205337
