SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3960 Canterbury Rd,North Olmsted,OH,44070,89900,3,1.5,North Olmsted,1478,22651,1955,1,61,,Active,,,http://www.redfin.com/OH/North-Olmsted/3960-Canterbury-Rd-44070/home/70816906,Yes MLS,4119264,N,Y,41.4313627,-81.9137919
MLS Listing,,Condo/Co-op,4300 Hyde Park #2,North Olmsted,OH,44070,104900,3,2.5,Hyde Park Condos,1266,,1981,1,83,189,Active,,,http://www.redfin.com/OH/North-Olmsted/4300-Hyde-Park-44070/unit-2/home/70815487,Yes MLS,4119008,N,Y,41.4262545,-81.8996812
MLS Listing,,Single Family Residential,5801 Sherwood Dr,North Olmsted,OH,44070,210000,4,2.0,Park Ridge,1682,11325,1963,1,125,,Active,,,http://www.redfin.com/OH/North-Olmsted/5801-Sherwood-Dr-44070/home/66176913,Yes MLS,4119067,N,Y,41.4057319,-81.9381582
MLS Listing,,Single Family Residential,3478 Clague Rd,North Olmsted,OH,44070,145000,3,1.5,Dover,2353,40075,1920,1,62,,Active,,,http://www.redfin.com/OH/North-Olmsted/3478-Clague-Rd-44070/home/70815216,Yes MLS,4118805,N,Y,41.4377364,-81.8827199
MLS Listing,,Condo/Co-op,4787 Columbia Rd #202,North Olmsted,OH,44070,52000,2,1.5,Jamestown Village Condo,835,184258,1968,1,62,271,Active,,,http://www.redfin.com/OH/North-Olmsted/4787-Columbia-Rd-44070/unit-202/home/66244332,Yes MLS,4118730,N,Y,41.4196098,-81.8907634
MLS Listing,,Condo/Co-op,3944 Brendan Ln Unit G517,North Olmsted,OH,44070,89000,2,1.5,Roman Gardens Condo,1140,,1964,1,78,157,Active,,,http://www.redfin.com/OH/North-Olmsted/3944-Brendan-Ln-44070/unit-G517/home/66121380,Yes MLS,4118718,N,Y,41.4307506,-81.8820102
MLS Listing,,Single Family Residential,5071 Hampton Dr,North Olmsted,OH,44070,110000,3,1.5,Forest Ridge,1567,11325,1962,1,70,,Active,,,http://www.redfin.com/OH/North-Olmsted/5071-Hampton-Dr-44070/home/66425939,Yes MLS,4118678,N,Y,41.4158971,-81.9417389
MLS Listing,,Single Family Residential,6165 Sherwood Dr,North Olmsted,OH,44070,214900,3,1.5,Park Ridge,2082,10890,1963,2,103,2,Active,,,http://www.redfin.com/OH/North-Olmsted/6165-Sherwood-Dr-44070/home/66384819,Yes MLS,4118200,N,Y,41.4007489,-81.9380046
MLS Listing,,Single Family Residential,6418 Surrey Dr,North Olmsted,OH,44070,276000,3,3.5,Bretton Ridge,3324,11761,1967,3,83,25,Active,,,http://www.redfin.com/OH/North-Olmsted/6418-Surrey-Dr-44070/home/66417862,Yes MLS,4117902,N,Y,41.3971061,-81.9504342
MLS Listing,,Condo/Co-op,24466 Clareshire Dr,North Olmsted,OH,44070,99000,3,2.0,Jefferson Place Condominiums,1408,,1965,4,70,345,Active,,,http://www.redfin.com/OH/North-Olmsted/24466-Clareshire-Dr-44070/unit-10K/home/79826346,Yes MLS,4117718,N,Y,41.4180794,-81.8930722
MLS Listing,,Single Family Residential,6595 Wedgewood Dr,North Olmsted,OH,44070,274900,4,2.5,North Olmsted,3059,13068,1975,4,90,,Active,,,http://www.redfin.com/OH/North-Olmsted/6595-Wedgewood-Dr-44070/home/70818152,Yes MLS,4117500,N,Y,41.3947661,-81.9597677
MLS Listing,,Single Family Residential,5446 Revere Dr,North Olmsted,OH,44070,154900,3,1.5,North Olmsted,1368,13068,1959,4,113,,Active,,,http://www.redfin.com/OH/North-Olmsted/5446-Revere-Dr-44070/home/70819982,Yes MLS,4117587,N,Y,41.4106876,-81.9229382
MLS Listing,,Single Family Residential,106 Greenward Way N #19,North Olmsted,OH,44070,267500,3,2.5,View Point,3703,3049,1995,4,72,156,Active,,,http://www.redfin.com/OH/North-Olmsted/106-Greenward-Way-N-44070/unit-19/home/70820223,Yes MLS,4116681,N,Y,41.4051231,-81.9162438
MLS Listing,,Single Family Residential,23784 Curtis Dr,North Olmsted,OH,44070,174900,3,2.0,Tree Lane 02,1996,8712,1965,6,88,,Active,,,http://www.redfin.com/OH/North-Olmsted/23784-Curtis-Dr-44070/home/70821412,Yes MLS,4116780,N,Y,41.4284101,-81.8865593
MLS Listing,,Single Family Residential,27496 Marquette Blvd,North Olmsted,OH,44070,244900,4,2.5,North Olmsted,2536,11761,1974,7,97,,Active,,,http://www.redfin.com/OH/North-Olmsted/27496-Marquette-Blvd-44070/home/70816285,Yes MLS,4116592,N,Y,41.430709,-81.9257522
MLS Listing,,Single Family Residential,4255 Brendan Ln,North Olmsted,OH,44070,238900,4,2.5,Libby Lee,2246,9147,1988,7,106,,Active,July-28-2019 12:00 PM,July-28-2019 02:00 PM,http://www.redfin.com/OH/North-Olmsted/4255-Brendan-Ln-44070/home/70821268,Yes MLS,4116931,N,Y,41.4270102,-81.8800559
MLS Listing,,Single Family Residential,3876 Canterbury Rd,North Olmsted,OH,44070,225000,4,2.5,Sandy Rdg 02,2016,12196,1969,8,112,21,Active,,,http://www.redfin.com/OH/North-Olmsted/3876-Canterbury-Rd-44070/home/70816751,Yes MLS,4116125,N,Y,41.4334126,-81.9135147
MLS Listing,,Single Family Residential,27190 Glouchester Dr,North Olmsted,OH,44070,224900,3,3.5,Beverly Hills Park Ests/J Hoislb,2800,10454,1962,8,80,,Active,,,http://www.redfin.com/OH/North-Olmsted/27190-Glouchester-Dr-44070/home/70820134,Yes MLS,4115820,N,Y,41.4076913,-81.9240041
MLS Listing,,Single Family Residential,23052 Mastick Rd,North Olmsted,OH,44070,319900,3,2.0,Olmsted 06,1608,65340,1917,9,199,,Pre On-Market,,,http://www.redfin.com/OH/North-Olmsted/23052-Mastick-Rd-44070/home/66297943,Yes MLS,4116192,N,Y,41.4189967,-81.8765628
MLS Listing,,Single Family Residential,4464 Dover Center Rd,North Olmsted,OH,44070,183000,3,1.0,Dover,2616,87120,1941,9,70,,Pre On-Market,,,http://www.redfin.com/OH/North-Olmsted/4464-Dover-Center-Rd-44070/home/70816438,Yes MLS,4116217,N,Y,41.4245319,-81.9235778
MLS Listing,,Single Family Residential,4505 Carsten Ln,North Olmsted,OH,44070,214900,4,2.5,Sandy Rdg Sub #1,2321,10890,1967,10,93,,Active,,,http://www.redfin.com/OH/North-Olmsted/4505-Carsten-Ln-44070/home/66306681,Yes MLS,4115777,N,Y,41.4252593,-81.9167981
MLS Listing,,Single Family Residential,29527 Vita Ln,North Olmsted,OH,44070,194800,3,2.0,City Line Estates,2136,12632,1977,10,91,,Active,,,http://www.redfin.com/OH/North-Olmsted/29527-Vita-Ln-44070/home/70818508,Yes MLS,4115725,N,Y,41.3867602,-81.9535806
MLS Listing,,Single Family Residential,4475 Camellia Ln,North Olmsted,OH,44070,184900,3,2.5,North Park Estates 01,2900,10890,1967,11,64,,Pre On-Market,,,http://www.redfin.com/OH/North-Olmsted/4475-Camellia-Ln-44070/home/70815748,Yes MLS,4115111,N,Y,41.4242462,-81.933872
MLS Listing,,Single Family Residential,28610 Lynhaven Dr,North Olmsted,OH,44070,229900,4,2.0,Park Rdg Homes,2236,10890,1965,11,103,,Active,,,http://www.redfin.com/OH/North-Olmsted/28610-Lynhaven-Dr-44070/home/70818875,Yes MLS,4115542,N,Y,41.4073111,-81.9384992
MLS Listing,,Single Family Residential,5021 Columbia Rd,North Olmsted,OH,44070,194500,4,1.5,Klarreich-Kadar 01,1888,44866,1949,11,103,,Active,,,http://www.redfin.com/OH/North-Olmsted/5021-Columbia-Rd-44070/home/70821990,Yes MLS,4115424,N,Y,41.4161789,-81.8928702
MLS Listing,,Single Family Residential,26947 Whitethorn Blvd Blvd,North Olmsted,OH,44070,120000,3,2.0,North Olmsted,1145,7405,1951,11,105,,Active,July-28-2019 11:00 AM,July-28-2019 01:00 PM,http://www.redfin.com/OH/North-Olmsted/26947-Whitethorn-Ave-44070/home/70819228,Yes MLS,4115057,N,Y,41.4164795,-81.9200353
MLS Listing,,Single Family Residential,6183 Barton Rd,North Olmsted,OH,44070,269000,3,3.0,North Olmsted,3066,56628,1950,11,88,,Active,,,http://www.redfin.com/OH/North-Olmsted/6183-Barton-Rd-44070/home/113137536,Yes MLS,4115179,N,Y,41.4002046,-81.9580204
MLS Listing,,Single Family Residential,5971 Park Ridge Dr,North Olmsted,OH,44070,179900,3,1.5,North Olmsted,1832,11325,1964,13,98,,Active,,,http://www.redfin.com/OH/North-Olmsted/5971-Park-Ridge-Dr-44070/home/70819083,Yes MLS,4114854,N,Y,41.403447,-81.9393944
MLS Listing,,Single Family Residential,23892 Vincent Dr,North Olmsted,OH,44070,167900,3,1.0,North Olmsted,1540,,1962,14,109,,Active,,,http://www.redfin.com/OH/North-Olmsted/23892-Vincent-Dr-44070/home/70813827,Yes MLS,4114843,N,Y,41.4478189,-81.8857605
MLS Listing,,Single Family Residential,23381 Clifford Dr,North Olmsted,OH,44070,88000,2,1.0,Clague Manor,,7405,1947,14,,,Active,,,http://www.redfin.com/OH/North-Olmsted/23381-Clifford-Dr-44070/home/70814079,Yes MLS,4114680,N,Y,41.446557,-81.8799592
MLS Listing,,Single Family Residential,5563 Columbia Rd,North Olmsted,OH,44070,139900,2,1.0,Olmsted,2072,74923,1928,14,68,,Active,,,http://www.redfin.com/OH/North-Olmsted/5563-Columbia-Rd-44070/home/66213432,Yes MLS,4110277,N,Y,41.4084027,-81.8959116
MLS Listing,,Single Family Residential,4180 Porter Rd,North Olmsted,OH,44070,284900,4,2.5,Goellner,2980,41817,1950,14,96,,Active,July-28-2019 02:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/North-Olmsted/4180-Porter-Rd-44070/home/70815749,Yes MLS,4114437,N,Y,41.4284724,-81.9361394
MLS Listing,,Single Family Residential,6010 Forest Ridge Dr,North Olmsted,OH,44070,250000,4,2.5,Park Rdg Homes,3168,10890,1965,15,79,,Active,,,http://www.redfin.com/OH/North-Olmsted/6010-Forest-Ridge-Dr-44070/home/66140967,Yes MLS,4114155,N,Y,41.4028905,-81.9375614
MLS Listing,,Single Family Residential,27420 Benwood Cir,North Olmsted,OH,44070,239900,4,3.0,North Olmsted,3460,,1973,17,69,,Active,,,http://www.redfin.com/OH/North-Olmsted/27420-Benwood-Cir-44070/home/70816974,Yes MLS,4113446,N,Y,41.4237432,-81.9256243
MLS Listing,,Single Family Residential,24146 Woodmere Dr,North Olmsted,OH,44070,214900,4,1.5,Deerfield Estates,2040,10890,1963,18,105,,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/North-Olmsted/24146-Woodmere-Dr-44070/home/70814968,Yes MLS,4112845,N,Y,41.4348844,-81.889218
MLS Listing,,Vacant Land,Barton Rd,North Olmsted,OH,44070,48500,,,Olmsted 06,,29185,,21,,,Active,,,http://www.redfin.com/OH/North-Olmsted/Barton-Rd-44070/home/70818435,Yes MLS,4112599,N,Y,41.386694,-81.957613
MLS Listing,,Single Family Residential,25259 Chase Dr,North Olmsted,OH,44070,194900,4,2.0,Deerfield,2083,10890,1965,21,94,,Active,,,http://www.redfin.com/OH/North-Olmsted/25259-Chase-Dr-44070/home/70814564,Yes MLS,4108093,N,Y,41.4381965,-81.9007972
MLS Listing,,Single Family Residential,4125 Columbia Rd,North Olmsted,OH,44070,142999,2,2.0,Dover,1096,28314,1950,23,130,,Active,,,http://www.redfin.com/OH/North-Olmsted/4125-Columbia-Rd-44070/home/70815845,Yes MLS,4110385,N,Y,41.4287156,-81.897501
MLS Listing,,Single Family Residential,5785 Forest Ridge Dr,North Olmsted,OH,44070,230000,4,2.5,Park Rdg Homes,2400,14810,1962,23,96,,Active,,,http://www.redfin.com/OH/North-Olmsted/5785-Forest-Ridge-Dr-44070/home/70819132,Yes MLS,4111481,N,Y,41.4059248,-81.9367797
MLS Listing,,Single Family Residential,5224 Hampton Dr,North Olmsted,OH,44070,229900,4,3.5,North Olmsted City,2563,19602,1962,28,90,,Active,July-27-2019 12:00 PM,July-27-2019 02:00 PM,http://www.redfin.com/OH/North-Olmsted/5224-Hampton-Dr-44070/home/70817850,Yes MLS,4109802,N,Y,41.4138193,-81.9425311
MLS Listing,,Condo/Co-op,23835 David Dr #208,North Olmsted,OH,44070,39000,1,1.0,Northwoods Condo,,398138,1964,29,,290,Active,,,http://www.redfin.com/OH/North-Olmsted/23835-David-Dr-44070/unit-208/home/70821431,Yes MLS,4109883,N,Y,41.4294175,-81.8852881
MLS Listing,,Single Family Residential,6560 Barton Rd,North Olmsted,OH,44070,315000,4,2.5,Olmsted 06,2574,45738,1907,31,122,,Active,August-4-2019 01:00 PM,August-4-2019 04:00 PM,http://www.redfin.com/OH/North-Olmsted/6560-Barton-Rd-44070/home/70818388,Yes MLS,4109299,N,Y,41.3956011,-81.9566993
MLS Listing,,Single Family Residential,5660 Pheasants Walk Dr,North Olmsted,OH,44070,319900,4,4.0,Pheasants Walk,4430,11761,1991,35,72,,Active,,,http://www.redfin.com/OH/North-Olmsted/5660-Pheasants-Walk-Dr-44070/home/66401689,Yes MLS,4105636,N,Y,41.40742,-81.945251
MLS Listing,,Single Family Residential,3781 Dover Center Rd,Westlake,OH,44145,129900,3,1.0,Turney/Dover,1950,23958,1952,41,67,,Active,,,http://www.redfin.com/OH/Westlake/3781-Dover-Center-Rd-44145/home/66407877,Yes MLS,4106597,N,Y,41.4338856,-81.9222986
MLS Listing,,Single Family Residential,4420 Clague Rd,North Olmsted,OH,44070,149900,3,1.5,Dover,2463,48787,1948,42,61,,Active,,,http://www.redfin.com/OH/North-Olmsted/4420-Clague-Rd-44070/home/70821854,Yes MLS,4105834,N,Y,41.4255614,-81.878155
MLS Listing,,Single Family Residential,27976 Edgepark Dr,North Olmsted,OH,44070,249900,4,3.0,North Olmsted,2884,13939,1971,43,87,,Active,,,http://www.redfin.com/OH/North-Olmsted/27976-Edgepark-Blvd-44070/home/70815941,Yes MLS,4105882,N,Y,41.4309016,-81.931252
