SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,Brown Rd,Athens,OH,45701,15000,,,Athens,,60983,,7,,,Active,,,http://www.redfin.com/OH/Athens/Brown-Ave-45701/home/76313210,Yes MLS,4117036,N,Y,39.303698,-82.181828
MLS Listing,,Single Family Residential,6720 Cameron Rd,Athens,OH,45701,479900,5,5.0,Alexander,3805,171190,1999,8,126,,Active,,,http://www.redfin.com/OH/Athens/6720-Cameron-Rd-45701/home/101059216,CBRMLS,219026494,N,Y,39.274749,-82.1711459
MLS Listing,,Vacant Land,0 Fisher Rd,Athens,OH,45701,124900,,,Alexander,,2211541,,50,,,Active,,,http://www.redfin.com/OH/Athens/Fisher-Rd-Unknown/home/76317879,CBRMLS,219019846,N,Y,39.272366,-82.143449
MLS Listing,,Single Family Residential,8 Berkley Dr,Athens,OH,45701,255000,3,2.5,Athens,1536,871,2018,57,166,,Active,,,http://www.redfin.com/OH/Athens/8-Westfield-Pl-45701/home/101058031,CBRMLS,219018905,N,Y,39.294322,-82.11368
MLS Listing,,Single Family Residential,13190 Dutch Creek Rd,Athens,OH,45701,129800,3,1.0,Ames,1248,253083,1977,93,104,,Active,,,http://www.redfin.com/OH/Athens/13190-Dutch-Creek-Rd-45701/home/76318419,CBRMLS,219013131,N,Y,39.390656,-82.038201
For-Sale-by-Owner Listing,,Single Family Residential,305 E State St,Athens,OH,45701,250000,3,3.0,Athens,2021,6660,1910,6,124,,Active,,,http://www.redfin.com/OH/Athens/305-E-State-St-45701/home/76313820,Fizber.com,5024472,N,Y,39.3372776,-82.0890776
For-Sale-by-Owner Listing,,Townhouse,36 Westfield Pl,Athens,OH,45701,169800,2,3.0,Athens,1422,5401,1999,14,119,,Active,,,http://www.redfin.com/OH/Athens/36-Westfield-Pl-45701/home/101058013,Fizber.com,5023615,N,Y,39.294324,-82.114628
For-Sale-by-Owner Listing,,Single Family Residential,6005 Crestview Dr,Athens,OH,45701,259000,3,3.0,Athens,2572,23958,1972,49,101,,Active,,,http://www.redfin.com/OH/Athens/6005-Crestview-Dr-45701/home/76312655,Fizber.com,5019424,N,Y,39.286005,-82.127856
For-Sale-by-Owner Listing,,Single Family Residential,14978 Dutch Creek Rd,Athens,OH,45701,405000,3,2.0,Athens,1200,135,1890,83,338,,Active,,,http://www.redfin.com/OH/Athens/14978-Dutch-Creek-Rd-45701/home/164996392,Fizber.com,5014904,N,Y,39.374771,-82.006927
For-Sale-by-Owner Listing,,Condo/Co-op,15 S Shafer St Apt 2003,Athens,OH,45701,108000,4,2.0,Athens,1040,,1995,136,104,,Active,,,http://www.redfin.com/OH/Athens/15-S-Shafer-St-45701/unit-2003/home/101056048,Fizber.com,5005979,N,Y,39.3328604,-82.1146765
For-Sale-by-Owner Listing,,Single Family Residential,114 Grosvenor St,Athens,OH,45701,145000,3,1.0,Athens,1376,3751,1971,218,105,,Active,,,http://www.redfin.com/OH/Athens/114-Grosvenor-St-45701/home/76315426,Fizber.com,4993233,N,Y,39.3358524,-82.0970728
