SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5847 Eldon Dr,Parma Heights,OH,44130,124900,3,1.5,S H Kleinman Realty Companys,,6534,1955,1,,,Active,,,http://www.redfin.com/OH/Parma-Heights/5847-Eldon-Dr-44130/home/66096148,Yes MLS,4118938,N,Y,41.4036054,-81.7469743
MLS Listing,,Single Family Residential,6347 Anita Dr,Parma Heights,OH,44130,169900,3,2.0,Parkside,1784,7840,1957,1,95,,Active,,,http://www.redfin.com/OH/Parma-Heights/6347-Anita-Dr-44130/home/70898695,Yes MLS,4118987,N,Y,41.391192,-81.7791604
MLS Listing,,Single Family Residential,6960 Oakwood Rd,Parma Heights,OH,44130,129900,2,1.0,Pearl Pleasant,988,8712,1953,1,131,,Active,,,http://www.redfin.com/OH/Parma-Heights/6960-Oakwood-Rd-44130/home/70899268,Yes MLS,4118911,N,Y,41.3748098,-81.7803576
MLS Listing,,Single Family Residential,6647 Fernhurst Ave,Parma Heights,OH,44130,99900,3,1.0,Parma Heights,1398,7405,1954,1,71,,Active,,,http://www.redfin.com/OH/Parma-Heights/6647-Fernhurst-Ave-44130/home/70898971,Yes MLS,4118080,N,Y,41.3832815,-81.7811868
MLS Listing,,Single Family Residential,6724 Commonwealth Blvd,Parma Heights,OH,44130,124900,3,1.0,Clayton C Townes Cos Resub,1064,7840,1955,1,117,,Active,,,http://www.redfin.com/OH/Parma-Heights/6724-Commonwealth-Blvd-44130/home/70898001,Yes MLS,4118657,N,Y,41.3809132,-81.7727688
MLS Listing,,Single Family Residential,6519 Sherborn Rd,Parma Heights,OH,44130,139900,3,1.5,Parma Heights,1278,8276,1956,2,109,,Active,,,http://www.redfin.com/OH/Parma-Heights/6519-Sherborn-Rd-44130/home/66236688,Yes MLS,4118612,N,Y,41.3845797,-81.7678713
MLS Listing,,Single Family Residential,9149 Stoney Creek Ln,Parma Heights,OH,44130,134900,4,1.5,Greenbriar Colony 04,1830,11761,1967,2,74,,Active,,,http://www.redfin.com/OH/Parma-Heights/9149-Stoney-Creek-Ln-44130/home/70900170,Yes MLS,4118343,N,Y,41.3821013,-81.7496326
MLS Listing,,Single Family Residential,5915 Deering Ave,Parma Heights,OH,44130,104900,2,2.0,Parma Heights,1149,4791,1949,2,91,,Active,,,http://www.redfin.com/OH/Parma-Heights/5915-Deering-Ave-44130/home/66113067,Yes MLS,4118149,N,Y,41.4018682,-81.7455212
MLS Listing,,Single Family Residential,16546 Glenridge Ave,Middleburg Heights,OH,44130,154900,3,2.0,Briarcliff,1479,6969,1953,3,105,,Active,,,http://www.redfin.com/OH/Middleburg-Heights/16546-Glenridge-Ave-44130/home/66480536,Yes MLS,4116329,N,Y,41.3676369,-81.8148145
MLS Listing,,Single Family Residential,5589 Nathan Dr,Parma,OH,44130,139000,3,1.5,Miller,1634,5662,1956,3,85,,Active,,,http://www.redfin.com/OH/Parma/5589-Nathan-Dr-44130/home/66435754,Yes MLS,4118034,N,Y,41.4090441,-81.7658631
MLS Listing,,Condo/Co-op,15504 Shaleside Ct,Cleveland,OH,44130,129900,2,1.5,Crystal Lake Ph 02,1276,1306,2003,3,102,135,Active,,,http://www.redfin.com/OH/Middleburg-Heights/15504-Shaleside-Ct-44130/home/66237392,Yes MLS,4117948,N,Y,41.3843991,-81.8076656
MLS Listing,,Single Family Residential,6769 Parma Park Blvd,Parma Heights,OH,44130,129900,4,2.0,Parma Heights,1817,10018,1949,3,71,,Active,,,http://www.redfin.com/OH/Parma-Heights/6769-Parma-Park-Blvd-44130/home/70319298,Yes MLS,4117935,N,Y,41.3797204,-81.7754969
MLS Listing,,Single Family Residential,15556 Cottonwood Oval,Middleburg Heights,OH,44130,274900,3,2.5,R&O Wood Crk Sub 1,2692,10890,1977,3,102,,Active,,,http://www.redfin.com/OH/CLEVELAND/15556-COTTONWOOD-OVAL-44130/home/70858329,Yes MLS,4117899,N,Y,41.381411,-81.802268
MLS Listing,,Single Family Residential,7723 Princeton Pl,Middleburg Heights,OH,44130,259900,4,2.5,Indian Creek Estates,2772,11325,1973,4,94,,Pre On-Market,,,http://www.redfin.com/OH/Middleburg-Heights/7723-Princeton-Pl-44130/home/70861159,Yes MLS,4117408,N,Y,41.3537041,-81.7913253
MLS Listing,,Single Family Residential,6886 Greenbriar Dr,Parma Heights,OH,44130,174900,4,2.5,Greenbriar Colony 02,2040,10454,1963,4,86,,Active,,,http://www.redfin.com/OH/Parma-Heights/6886-Greenbriar-Dr-44130/home/66162712,Yes MLS,4117393,N,Y,41.3772067,-81.7518466
