SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5185 E View Dr,Union Twp,OH,45150,440000,4,4.0,Union Twp.,4520,18295,2006,36,97,67,Active,,,http://www.redfin.com/OH/Milford/5185-E-View-Dr-45150/home/71326619,Cincy MLS,1626648,N,Y,39.1491848,-84.2816583
MLS Listing,,Single Family Residential,5745 Cromley Dr,Milford,OH,45150,205000,4,2.0,Miami Twp.,1690,,1960,1,121,,Active,,,http://www.redfin.com/OH/Milford/5745-Cromley-Dr-45150/home/71355014,Cincy MLS,1631778,N,Y,39.181231,-84.2230425
MLS Listing,,Condo/Co-op,5984 Meadow Crk,Miami Twp,OH,45150,114900,2,2.0,Miami Twp.,,,1989,1,,185,Active,,,http://www.redfin.com/OH/Milford/5984-Meadow-Creek-Dr-45150/unit-5984-5/home/71331260,Cincy MLS,1631751,N,Y,39.195458,-84.250744
MLS Listing,,Single Family Residential,5965 Roan Rd,Miami Twp,OH,45150,174900,3,1.0,Miami Twp.,1112,26136,1959,1,157,,Active,,,http://www.redfin.com/OH/Milford/5965-Roan-Rd-45150/home/71353956,Cincy MLS,1631510,N,Y,39.1973848,-84.2262947
MLS Listing,,Single Family Residential,526 Cooper Ave,Milford,OH,45150,155000,3,2.0,Milford,1176,5619,1919,1,132,,Active,,,http://www.redfin.com/OH/Milford/526-Cooper-Ave-45150/home/71358821,Cincy MLS,1631491,N,Y,39.1818163,-84.2858738
MLS Listing,,Single Family Residential,5633 Water Mills Dr,Miami Twp,OH,45150,240000,3,2.0,Miami Twp.,1812,,2008,1,132,46,Active,,,http://www.redfin.com/OH/Milford/5633-Water-Mills-Dr-45150/home/71327180,Cincy MLS,1631116,N,Y,39.1975043,-84.2042254
MLS Listing,,Single Family Residential,105 Cleveland Ave,Milford,OH,45150,949000,3,2.5,Milford,2550,18252,1870,2,372,,Active,,,http://www.redfin.com/OH/Milford/105-Cleveland-Ave-45150/home/71331929,Cincy MLS,1631027,N,Y,39.1693624,-84.2934567
MLS Listing,,Single Family Residential,825 St Rt 131,Miami Twp,OH,45150,739900,5,4.5,Miami Twp.,4119,134600,1991,3,180,,Active,,,http://www.redfin.com/OH/Milford/825-OH-131-45150/home/71351407,Cincy MLS,1631298,N,Y,39.1761249,-84.2622685
MLS Listing,,Single Family Residential,5187 Miami Hills Dr,Union Twp,OH,45150,375000,4,3.5,Union Twp.,3264,14985,2006,3,115,67,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Milford/5187-Miami-Hills-Dr-45150/home/71321435,Cincy MLS,1631241,N,Y,39.1497898,-84.2803627
MLS Listing,,Single Family Residential,1245 Spotted Fawn Rn,Miami Twp,OH,45150,585000,4,3.5,Miami Twp.,3292,95832,1995,4,178,83,Active,,,http://www.redfin.com/OH/Milford/1245-Spotted-Fawn-Run-45150/home/71350755,Cincy MLS,1631008,N,Y,39.1477982,-84.21452
MLS Listing,,Condo/Co-op,602 Traverse Crk,Miami Twp,OH,45150,215000,2,2.0,Miami Twp.,1666,,1997,5,129,298,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Milford/602-Traverse-Creek-Dr-45150/unit-602/home/71357162,Cincy MLS,1630957,N,Y,39.1899381,-84.2350848
MLS Listing,,Single Family Residential,19 Robbie Rdg,Milford,OH,45150,249999,3,2.0,Milford,,11021,,7,,,Active,,,http://www.redfin.com/OH/Milford/19-Robbie-Rdg-45150/home/145775566,Cincy MLS,1630935,N,Y,39.1745465,-84.2844533
MLS Listing,,Single Family Residential,5906 Meadow Lark Ct,Miami Twp,OH,45150,299900,3,2.5,Miami Twp.,2759,,1996,7,109,2,Active,,,http://www.redfin.com/OH/Milford/5906-Meadow-Lark-Ct-45150/home/71349863,Cincy MLS,1630815,N,Y,39.2081595,-84.2362561
MLS Listing,,Vacant Land,1173 Teakwood Dr,Miami Twp,OH,45150,38900,,,Miami Twp.,,20473,,9,,,Active,,,http://www.redfin.com/OH/Milford/1173-Teakwood-Dr-45150/home/162305838,Cincy MLS,1630496,N,Y,39.1852576,-84.2305805
MLS Listing,,Single Family Residential,8 Easley Dr,Miami Twp,OH,45150,149900,3,2.0,Miami Twp.,1904,26136,1958,10,79,,Active,,,http://www.redfin.com/OH/Milford/8-Easley-Dr-45150/home/71348875,Cincy MLS,1630418,N,Y,39.1978944,-84.230864
MLS Listing,,Single Family Residential,1194 Deblin Dr,Miami Twp,OH,45150,179900,3,1.5,Miami Twp.,950,20473,1959,11,189,,Active,,,http://www.redfin.com/OH/Milford/1194-Deblin-Dr-45150/home/71354400,Cincy MLS,1630122,N,Y,39.1845169,-84.2288881
MLS Listing,,Single Family Residential,5805 Mildred Ln,Miami Twp,OH,45150,225000,3,2.0,Miami Twp.,2020,28314,1965,14,111,,Active,,,http://www.redfin.com/OH/Milford/5805-Mildred-Ln-45150/home/71352687,Cincy MLS,1629942,N,Y,39.1890804,-84.2802085
MLS Listing,,Single Family Residential,5372 Country Ln,Miami Twp,OH,45150,234900,4,3.0,Miami Twp.,1760,19166,1976,14,133,,Active,,,http://www.redfin.com/OH/Milford/5372-Country-Ln-45150/home/71350664,Cincy MLS,1629893,N,Y,39.1557487,-84.2261712
MLS Listing,,Single Family Residential,1380 Baldwin Rd,Union Twp,OH,45150,600000,3,1.0,Union Twp.,1056,1809482,,16,568,,Active,,,http://www.redfin.com/OH/Milford/1380-Baldwin-Rd-45150/home/71379296,Cincy MLS,1629579,N,Y,39.118322,-84.221985
MLS Listing,,Single Family Residential,1400 Baldwin Rd,Milford,OH,45150,359000,4,2.5,Union Twp.,2482,439564,1989,16,145,,Active,,,http://www.redfin.com/OH/Milford/1400-Baldwin-Rd-45150/home/71379299,Cincy MLS,1629508,N,Y,39.117322,-84.220935
MLS Listing,,Townhouse,115 Miami Lakes Dr,Milford,OH,45150,225000,2,2.5,Milford,2214,,2004,18,102,325,Active,,,http://www.redfin.com/OH/Milford/115-Miami-Lakes-Dr-45150/unit-1/home/63715793,Cincy MLS,1629223,N,Y,39.1889032,-84.281421
MLS Listing,,Condo/Co-op,208 Miami Lakes Dr,Milford,OH,45150,279900,2,2.0,Milford,1900,,1994,18,147,365,Active,,,http://www.redfin.com/OH/Milford/208-Miami-Lakes-Dr-45150/unit-4/home/71360300,Cincy MLS,1629187,N,Y,39.1900999,-84.2822135
MLS Listing,,Single Family Residential,9 Crooked Creek Ln,Miami Twp,OH,45150,565000,4,3.0,Miami Twp.,3547,435600,1981,21,159,63,Active,,,http://www.redfin.com/OH/Milford/9-Crooked-Creek-Ln-45150/home/71357903,Cincy MLS,1628558,N,Y,39.1376,-84.222874
MLS Listing,,Townhouse,689 Terrace Hill Trl,Union Twp,OH,45150,195000,3,2.5,Union Twp.,1870,,2006,23,104,65,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Milford/689-Terrace-Hill-Trl-45150/home/71321756,Cincy MLS,1628842,N,Y,39.1560464,-84.2809284
MLS Listing,,Single Family Residential,19 Laurelwood Dr,Miami Twp,OH,45150,589900,4,2.5,Miami Twp.,3500,223027,1989,24,169,63,Active,,,http://www.redfin.com/OH/Milford/19-Laurelwood-Dr-45150/home/71357899,Cincy MLS,1627072,N,Y,39.142179798,-84.22225797
MLS Listing,,Single Family Residential,1431 Norway Knoll Ct,Miami Twp,OH,45150,480000,4,3.5,Miami Twp.,4923,15333,2017,24,98,33,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Milford/Norway-Knoll-Ct-45150/home/144782757,Cincy MLS,1628579,N,Y,39.155373,-84.213516
MLS Listing,,Single Family Residential,1440 Wade Rd,Miami Twp,OH,45150,124900,3,1.0,Miami Twp.,1223,,1956,25,102,,Active,,,http://www.redfin.com/OH/Milford/1440-Wade-Rd-45150/home/71352634,Cincy MLS,1628446,N,Y,39.1825036,-84.2077791
MLS Listing,,Single Family Residential,5670 Sally St,Miami Twp,OH,45150,109900,3,1.0,Miami Twp.,1294,,1957,25,85,,Active,,,http://www.redfin.com/OH/Milford/5670-Sally-St-45150/home/71353477,Cincy MLS,1628386,N,Y,39.1765992,-84.2317284
MLS Listing,,Vacant Land,1130 Glen Echo Ln,Miami Twp,OH,45150,240000,,,Miami Twp.,,217800,,28,,,Active,,,http://www.redfin.com/OH/Milford/1130-Glen-Echo-Ln-45150/home/160703986,Cincy MLS,1628206,N,Y,39.2049492,-84.2314077
MLS Listing,,Single Family Residential,6127 Geneva Ct,Miami Twp,OH,45150,399000,4,2.5,Miami Twp.,,22477,2019,29,,71,Active,,,http://www.redfin.com/OH/Milford/Unknown-Unknown/home/160775193,Cincy MLS,1627358,N,Y,39.204403,-84.212425
MLS Listing,,Single Family Residential,686 Lake View Dr,Union Twp,OH,45150,364900,5,3.5,Union Twp.,3104,8407,2014,31,118,67,Active,,,http://www.redfin.com/OH/Milford/686-Lake-View-Dr-45150/home/71330603,Cincy MLS,1627739,N,Y,39.151635,-84.285343
MLS Listing,,Single Family Residential,6077 Branch Hill-Guinea Park,Miami Twp,OH,45150,119900,3,1.0,Miami Twp.,886,16553,1949,42,135,,Active,,,http://www.redfin.com/OH/Milford/6077-Branch-Hill-Guinea-Pike-45150/home/71349685,Cincy MLS,1626266,N,Y,39.2050784,-84.2246226
MLS Listing,,Single Family Residential,1600 Red Fox Ln,Miami Twp,OH,45150,625000,3,3.0,Miami Twp.,2800,217800,1999,42,223,,Active,,,http://www.redfin.com/OH/Milford/1600-Red-Fox-Ln-45150/home/71331454,Cincy MLS,1626277,N,Y,39.1676024,-84.1936614
MLS Listing,,Single Family Residential,5829 Needleleaf Dr,Miami Twp,OH,45150,399900,4,4.5,Miami Twp.,3940,17729,2001,44,101,33,Active,,,http://www.redfin.com/OH/Milford/5829-Needleleaf-Dr-45150/home/71351697,Cincy MLS,1625913,N,Y,39.2078562,-84.2465039
MLS Listing,,Single Family Residential,5193 Miami Hills Dr,Union Twp,OH,45150,384275,4,2.5,Union Twp.,,,,49,,67,Active,,,http://www.redfin.com/OH/Milford/5193-Miami-Hills-Dr-45150/home/71321429,Cincy MLS,1625451,N,Y,39.150632,-84.280468
MLS Listing,,Single Family Residential,5949 Shallow Creek Dr,Miami Twp,OH,45150,359500,4,3.0,Miami Twp.,3152,37941,1981,49,114,58,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Milford/5949-Shallow-Creek-Dr-45150/home/71357772,Cincy MLS,1625414,N,Y,39.2051658,-84.2592598
MLS Listing,,Single Family Residential,1542 US Rt 50,Stonelick Twp,OH,45150,194900,4,2.0,Stonelick Twp.,1600,79610,1962,57,122,,Active,,,http://www.redfin.com/OH/Milford/1542-US-50-45150/home/71370665,Cincy MLS,1623681,N,Y,39.1273519,-84.209342
MLS Listing,,Single Family Residential,1239 Spotted Fawn Rn,Miami Twp,OH,45150,609000,4,4.5,Miami Twp.,3941,217800,2004,66,155,82,Active,,,http://www.redfin.com/OH/Milford/1239-Spotted-Fawn-Run-45150/home/63724066,Cincy MLS,1622873,N,Y,39.148255,-84.2171962
MLS Listing,,Single Family Residential,1678 Apgar Rd,Stonelick Twp,OH,45150,365000,4,3.0,Stonelick Twp.,2821,217800,1970,87,129,,Active,,,http://www.redfin.com/OH/Milford/1678-Apgar-Rd-45150/home/71316896,Cincy MLS,1620028,N,Y,39.157459,-84.19318
MLS Listing,,Single Family Residential,706 Maple Ridge Rd,Miami Twp,OH,45150,275000,4,3.0,Miami Twp.,3152,24829,1966,92,87,,Active,,,http://www.redfin.com/OH/Milford/706-Maple-Ridge-Rd-45150/home/71355201,Cincy MLS,1618961,N,Y,39.1959051,-84.27263
MLS Listing,,Vacant Land,0 US Rt 50,Miami Twp,OH,45150,199500,,,Miami Twp.,,696960,,93,,,Active,,,http://www.redfin.com/OH/Miami-Twp/0-US-Rt-50-45150/home/146790779,Cincy MLS,1619241,N,Y,39.138533,-84.237061
MLS Listing,,Vacant Land,,Miami Twp,OH,45150,245000,,,Miami Twp.,,472190,,94,,,Active,,,http://www.redfin.com/OH/Milford/Undisclosed-address-45150/home/71350711,Cincy MLS,1619038,N,Y,39.162406,-84.219626
MLS Listing,,Single Family Residential,6111 Geneva Ct #26,Miami Twp,OH,45150,405500,4,2.5,Miami Twp.,2776,,,108,146,69,Active,,,http://www.redfin.com/OH/Day-Heights/6111-Geneva-CT-45150/unit-26/home/161426613,Cincy MLS,1617106,N,Y,39.202996,-84.211418
MLS Listing,,Single Family Residential,792 Longleaf Dr,Miami Twp,OH,45150,395900,4,3.5,Miami Twp.,2972,,2004,111,133,37,Active,,,http://www.redfin.com/OH/Milford/792-Longleaf-Dr-45150/home/71351730,Cincy MLS,1616805,N,Y,39.2075146,-84.2494257
MLS Listing,,Single Family Residential,5241 Lower Lake Dr,Union Twp,OH,45150,394900,3,2.0,Union Twp.,,,,119,,150,Active,,,http://www.redfin.com/OH/Day-Heights/5241-Lower-Lake-DR-45150/home/160876141,Cincy MLS,1615707,N,Y,39.1753377,-84.2943821
MLS Listing,,Single Family Residential,6102 Geneva Ct #2,Miami Twp,OH,45150,406000,3,3.0,Miami Twp.,2014,11391,,121,202,69,Active,,,http://www.redfin.com/OH/Day-Heights/6102-Geneva-CT-45150/unit-2/home/160765622,Cincy MLS,1615339,N,Y,39.202996,-84.211418
MLS Listing,,Vacant Land,9 Min Ln,Miami Twp,OH,45150,93900,,,Miami Twp.,,58370,,149,,,Active,,,http://www.redfin.com/OH/Miami-Township/9-9th-St-45150/home/160544044,Cincy MLS,1612072,N,Y,39.1872626,-84.2509123
MLS Listing,,Vacant Land,8 Min Ln,Miami Twp,OH,45150,89900,,,Miami Twp.,,21780,,149,,,Active,,,http://www.redfin.com/OH/Miami-Township/8-8th-St-45150/home/160544040,Cincy MLS,1612070,N,Y,39.187132,-84.250305
MLS Listing,,Vacant Land,7 Min Ln,Miami Twp,OH,45150,99900,,,Miami Twp.,,20038,,149,,,Active,,,http://www.redfin.com/OH/Miami-Township/7-7th-St-45150/home/160544028,Cincy MLS,1612069,N,Y,39.186979,-84.249557
MLS Listing,,Vacant Land,5 Min Ln,Miami Twp,OH,45150,99900,,,Miami Twp.,,27443,,149,,,Active,,,http://www.redfin.com/OH/Milford/5-5th-St-45150/unit-5/home/145810178,Cincy MLS,1612068,N,Y,39.1742,-84.2538
MLS Listing,,Vacant Land,4 Min Ln,Miami Twp,OH,45150,93900,,,Miami Twp.,,27878,,149,,,Active,,,http://www.redfin.com/OH/Miami-Twp/4-Min-Ln-45150/home/143309148,Cincy MLS,1612067,N,Y,39.164124,-84.206253
MLS Listing,,Vacant Land,3 Min Ln,Miami Twp,OH,45150,93900,,,Miami Twp.,,29185,,149,,,Active,,,http://www.redfin.com/OH/Miami-Township/3-3rd-St-45150/home/160544011,Cincy MLS,1612066,N,Y,39.1889153,-84.2493741
MLS Listing,,Vacant Land,1 Min Ln,Miami Twp,OH,45150,129900,,,Miami Twp.,,78408,,149,,,Active,,,http://www.redfin.com/OH/Milford/1-1st-St-45150/home/145778127,Cincy MLS,1612055,N,Y,39.1742,-84.2538
MLS Listing,,Vacant Land,0 Round Bottom Rd,Union Twp,OH,45150,1290000,,,Union Twp.,,1904879,,156,,,Active,,,http://www.redfin.com/OH/Union-Twp/0-Round-Bottom-Rd-45140/home/79004799,Cincy MLS,1611190,N,Y,39.151749,-84.263344
MLS Listing,,Vacant Land,5765 Deerfield Rd,Stonelick Twp,OH,45150,27000,,,Stonelick Twp.,,63598,,193,,,Active,,,http://www.redfin.com/OH/Milford/5765-Deerfield-Rd-45150/home/71370230,Cincy MLS,1607326,N,Y,39.178353,-84.1752829
MLS Listing,,Single Family Residential,106 W Mills Dr,Miami Twp,OH,45150,320000,4,2.5,Miami Twp.,,,,254,,53,Active,,,http://www.redfin.com/OH/Miami-Township/106-W-Mills-Dr-45150/home/148123757,Cincy MLS,1603070,N,Y,39.195584,-84.205799
MLS Listing,,Single Family Residential,118 W Mills Dr,Miami Twp,OH,45150,370000,3,2.0,Miami Twp.,,,,254,,53,Active,,,http://www.redfin.com/OH/Miami-Township/118-W-Mills-Dr-45150/home/148123645,Cincy MLS,1603064,N,Y,39.195584,-84.205799
