SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2224 Cloverdale Ct,Columbus,OH,43235,385000,4,7.0,,3210,10890,1989,1,120,,Active,,,http://www.redfin.com/OH/Columbus/2224-Cloverdale-Ct-43235/home/75696548,CBRMLS,219027759,N,Y,40.0993528,-83.0757531
MLS Listing,,Condo/Co-op,5444 Baneberry Ave,Columbus,OH,43235,179900,2,2.5,,1522,,1993,1,118,259,Active,,,http://www.redfin.com/OH/Columbus/5444-Baneberry-Ave-43235/unit-16B/home/79489580,CBRMLS,219027735,N,Y,40.0672536,-83.0728279
MLS Listing,,Condo/Co-op,6705 Meadow Creek Dr #208,Columbus,OH,43235,147500,2,2.0,,1393,1742,1996,1,106,272,Active,,,http://www.redfin.com/OH/Columbus/6705-Meadow-Creek-Dr-43235/unit-208/home/145690491,CBRMLS,219027730,N,Y,40.0929518,-83.0787217
MLS Listing,,Single Family Residential,2425 Merbrook Rd,Columbus,OH,43235,374900,3,2.0,Perry,1598,16117,1967,1,235,,Active,,,http://www.redfin.com/OH/Columbus/2425-Merbrook-Rd-43235/home/75645187,CBRMLS,219027703,N,Y,40.1002809,-83.0606563
MLS Listing,,Single Family Residential,5704 Juliana Pl,Columbus,OH,43235,649000,4,3.5,,2890,10018,2010,1,225,500,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Columbus/5704-Juliana-Pl-43235/home/79719282,CBRMLS,219027656,N,Y,40.0765848,-83.0379417
MLS Listing,,Single Family Residential,839 Katherines Ridge Ln,Columbus,OH,43235,514900,5,3.5,,4036,10454,1993,1,128,125,Active,,,http://www.redfin.com/OH/Columbus/839-Katherines-Ridge-Ln-43235/home/79598241,CBRMLS,219027554,N,Y,40.074043,-83.0410673
MLS Listing,,Single Family Residential,1454 Briarmeadow Dr,Columbus,OH,43235,439000,5,2.5,,2862,20908,1974,1,153,,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Columbus/1454-Briarmeadow-Dr-43235/home/75618139,CBRMLS,219027533,N,Y,40.121462,-83.0565461
MLS Listing,,Single Family Residential,1189 Kilham Ct,Columbus,OH,43235,529000,4,2.5,,4380,11761,1987,1,121,8,Active,,,http://www.redfin.com/OH/Columbus/1189-Kilham-Ct-43235/home/75650745,CBRMLS,219027480,N,Y,40.1059811,-83.0497719
MLS Listing,,Condo/Co-op,8029 Ravine Run Ln,Columbus,OH,43235,289900,3,3.5,,2395,2613,2014,2,121,250,Active,July-27-2019 01:00 PM,July-27-2019 03:00 PM,http://www.redfin.com/OH/Columbus/8029-Ravine-Run-Ln-43235/home/100723150,CBRMLS,219027417,N,Y,40.1288626,-83.0059054
MLS Listing,,Condo/Co-op,2077 Coleman Dr Unit 4B,Columbus,OH,43235,169000,2,2.0,,1152,435,1994,2,147,256,Active,,,http://www.redfin.com/OH/Columbus/2077-Coleman-Dr-43235/unit-4B/home/100777901,CBRMLS,219027333,N,Y,40.066392,-83.073911
MLS Listing,,Condo/Co-op,6840 Villabrook Dr,Columbus,OH,43235,179900,2,2.0,,1170,,1997,2,154,252,Active,,,http://www.redfin.com/OH/Columbus/6840-Villabrook-Dr-43235/home/100778200,CBRMLS,219027284,N,Y,40.094853,-83.080881
MLS Listing,,Single Family Residential,1119 Rosebank Dr,Columbus,OH,43235,539900,4,3.5,,3973,10454,1985,3,136,8,Active,,,http://www.redfin.com/OH/Columbus/1119-Rosebank-Dr-43235/home/75715388,CBRMLS,219027190,N,Y,40.1043516,-83.0478423
