SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5619 Kingham Way,Liberty Twp,OH,45044,430000,4,3.5,Liberty Twp.,3773,20038,2016,1,114,14,Active,,,http://www.redfin.com/OH/Liberty-Township/5619-Kingham-Way-45044/home/113036226,Cincy MLS,1631211,N,Y,39.4285011,-84.4230916
MLS Listing,,Single Family Residential,1612 Glenwood Ave,Middletown,OH,45044,37500,1,1.0,Middletown South,810,,1931,1,46,,Active,,,http://www.redfin.com/OH/Middletown/1612-Glenwood-Ave-45044/home/78911158,Cincy MLS,1631609,N,Y,39.4842796,-84.3994757
MLS Listing,,Single Family Residential,2017 Winton,Middletown,OH,45042,70000,2,1.0,Middletown South,848,7501,1930,1,83,,Active,,,http://www.redfin.com/OH/Middletown/2017-Winton-St-45044/home/75588531,Cincy MLS,1631594,N,Y,39.4934534,-84.3750649
MLS Listing,,Single Family Residential,805 Vancouver St,Middletown,OH,45044,169000,4,2.5,Middletown South,1789,,1972,2,94,,Active,,,http://www.redfin.com/OH/Middletown/805-Vancouver-St-45044/home/75588358,Cincy MLS,1631442,N,Y,39.5006538,-84.3389426
MLS Listing,,Single Family Residential,7873 Royal Fern Ct,Liberty Twp,OH,45044,449900,4,3.5,Liberty Twp.,2492,15682,2005,2,181,42,Active,,,http://www.redfin.com/OH/Liberty-Township/7873-Royal-Fern-Ct-45044/home/78988763,Cincy MLS,1631428,N,Y,39.3823566,-84.3571008
MLS Listing,,Single Family Residential,6720 Rodeo Rd,Liberty Twp,OH,45044,370000,4,2.5,Liberty Twp.,2964,22290,2018,2,125,,Active,,,http://www.redfin.com/OH/Liberty-Township/6720-Rodeo-Dr-45044/home/145056653,Cincy MLS,1631408,N,Y,39.4129486,-84.3959249
MLS Listing,,Single Family Residential,2629 El Camino Dr,Middletown,OH,45044,149900,3,1.0,Middletown South,984,10019,1973,2,152,,Active,,,http://www.redfin.com/OH/Middletown/2629-El-Camino-Dr-45044/home/100699742,Cincy MLS,1631344,N,Y,39.4825178,-84.3380797
MLS Listing,,Single Family Residential,1518 Lawn Ave,Middletown,OH,45044,40000,2,1.0,Middletown South,848,4622,1919,2,47,,Active,,,http://www.redfin.com/OH/Middletown/1518-Lawn-Ave-45044/home/63716740,Cincy MLS,1631324,N,Y,39.4919743,-84.4003107
MLS Listing,,Single Family Residential,5075 Chandler Xing,Liberty Twp,OH,45044,238000,3,2.5,Liberty Twp.,1764,12162,2011,2,135,13,Contingent,,,http://www.redfin.com/OH/Liberty-Township/5075-Chandler-Xing-45044/home/78915257,Cincy MLS,1630745,N,Y,39.42348,-84.3504462
MLS Listing,,Single Family Residential,7121 Maple Creek Dr,Liberty Twp,OH,45044,319900,4,3.5,Liberty Twp.,2678,,1992,2,119,,Active,,,http://www.redfin.com/OH/Liberty-Township/7121-Maple-Creek-Dr-45044/home/78831877,Cincy MLS,1631158,N,Y,39.3851676,-84.3851899
MLS Listing,,Single Family Residential,2630 Worchester Pl,Middletown,OH,45044,156500,3,1.5,Middletown South,1520,,1989,3,103,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Middletown/2630-Worchester-Pl-45044/home/75577858,Cincy MLS,1631223,N,Y,39.4834791,-84.342928
MLS Listing,,Single Family Residential,8218 Sweet Briar Ct,Liberty Twp,OH,45044,525000,3,3.0,Liberty Twp.,3897,10019,2005,3,135,196,Active,,,http://www.redfin.com/OH/Liberty-Township/8218-Sweet-Briar-Ct-45044/home/78895145,Cincy MLS,1631180,N,Y,39.3722285,-84.3501381
MLS Listing,,Single Family Residential,2311 Sherman Ave,Middletown,OH,45044,79900,2,1.0,Middletown South,924,,1899,3,86,,Active,,,http://www.redfin.com/OH/Middletown/2311-Sherman-Ave-45044/home/75576580,Cincy MLS,1631199,N,Y,39.5079582,-84.3847075
MLS Listing,,Single Family Residential,6521 Lucky Ln,Liberty Twp,OH,45044,280000,3,2.5,Liberty Twp.,2376,,2004,6,118,8,Active,,,http://www.redfin.com/OH/Liberty-Township/6521-Lucky-Ln-45044/home/100664071,Cincy MLS,1630965,N,Y,39.4096004,-84.4014049
MLS Listing,,Single Family Residential,309 S Highview Rd,Middletown,OH,45044,154900,3,2.5,Middletown North,1458,10019,1943,7,106,,Active,,,http://www.redfin.com/OH/Middletown/309-S-Highview-Rd-45044/home/78836023,Cincy MLS,1630873,N,Y,39.507992,-84.3647815
