SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9613 Nathanial Ln,Fairfield,OH,45014,239500,4,3.5,Fairfield,1886,6625,2005,1,127,,Active,,,http://www.redfin.com/OH/Fairfield/9613-Nathanial-Ln-45014/home/100664387,Cincy MLS,1631590,N,Y,39.3137786,-84.4924267
MLS Listing,,Single Family Residential,7 Brushback Ct,Fairfield,OH,45014,169900,4,3.5,Fairfield,3798,15307,1990,1,45,,Active,,,http://www.redfin.com/OH/Fairfield/7-Brushback-Ct-45014/home/75558743,Cincy MLS,1631652,N,Y,39.3173285,-84.5162589
MLS Listing,,Single Family Residential,1731 Resor Rd,Fairfield,OH,45014,329900,3,3.0,Fairfield,3702,60984,2004,1,89,,Active,,,http://www.redfin.com/OH/Fairfield/1731-Resor-Rd-45014/home/100671691,Cincy MLS,1630835,N,Y,39.322594,-84.5606169
MLS Listing,,Single Family Residential,2088 Robin Ave,Ross Twp,OH,45014,39900,2,1.0,Ross Twp.,,7841,1959,1,,,Active,,,http://www.redfin.com/OH/Fairfield/2088-Robin-Ave-45014/home/75561589,Cincy MLS,1631329,N,Y,39.3092253,-84.6423824
MLS Listing,,Single Family Residential,31 Woodmont Ct,Fairfield,OH,45014,195000,4,2.5,Fairfield,2268,22651,1979,1,86,,Active,,,http://www.redfin.com/OH/Fairfield/31-Woodmont-Ct-45014/home/78889914,Cincy MLS,1631582,N,Y,39.3234248,-84.5965755
MLS Listing,,Single Family Residential,652 Doris Jane Ave,Fairfield,OH,45014,149000,4,1.0,Fairfield,1238,,1953,1,120,,Active,,,http://www.redfin.com/OH/Fairfield/652-Doris-Jane-Ave-45014/home/75579395,Cincy MLS,1631547,N,Y,39.3438549,-84.5579866
MLS Listing,,Single Family Residential,6686 E River Rd,Fairfield,OH,45014,217000,3,2.5,Fairfield,1748,,1979,4,124,,Active,,,http://www.redfin.com/OH/Fairfield/6686-River-Rd-45014/home/78839447,Cincy MLS,1631141,N,Y,39.3214569,-84.5977209
MLS Listing,,Single Family Residential,5042 Denison Dr,Fairfield,OH,45014,50000,2,1.0,Fairfield,1107,,1960,4,45,,Active,,,http://www.redfin.com/OH/Fairfield/5042-Denison-Dr-45014/home/75557955,Cincy MLS,1631049,N,Y,39.3411784,-84.5491233
MLS Listing,,Single Family Residential,5383 Burgundy Pl,Fairfield,OH,45014,145000,3,2.0,Fairfield,1727,,1975,4,84,,Active,,,http://www.redfin.com/OH/Fairfield/5383-Burgundy-Pl-45014/home/100672883,Cincy MLS,1631040,N,Y,39.3326086,-84.5841587
MLS Listing,,Condo/Co-op,3700 Mack Rd #16,Fairfield,OH,45014,61000,3,1.5,Fairfield,1313,,1980,4,46,244,Active,,,http://www.redfin.com/OH/Fairfield/3700-Mack-Rd-45014/unit-16/home/100673891,Cincy MLS,1630666,N,Y,39.313152,-84.4970168
