SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,34107 Lake Shore Blvd,Lakeline,OH,44095,369900,3,2.0,Willoughby Land & Improv,2100,45738,1945,1,176,,Active,July-28-2019 12:00 PM,July-28-2019 02:00 PM,http://www.redfin.com/OH/Lakeline/34107-Lakeshore-Blvd-44095/home/77666470,Yes MLS,4116569,N,Y,41.6610491,-81.4536155
MLS Listing,,Condo/Co-op,84 Sunset Cove Cir,Eastlake,OH,44095,230000,3,3.5,Sunset Cove,,17859,1998,1,,200,Active,July-28-2019 12:00 PM,July-28-2019 02:00 PM,http://www.redfin.com/OH/Eastlake/84-Sunset-Cove-Cir-44095/home/66383542,Yes MLS,4117651,N,Y,41.6799552,-81.4271043
MLS Listing,,Single Family Residential,37672 Green Dr,Eastlake,OH,44095,41500,3,1.0,Willoway Beach 03,1526,8276,1948,1,27,,Active,,,http://www.redfin.com/OH/Eastlake/37672-Green-Dr-44095/home/77671234,Yes MLS,4118995,N,Y,41.6858568,-81.4098732
MLS Listing,,Single Family Residential,32852 Kimberly Ct,Eastlake,OH,44095,215000,4,2.5,Kimberly Estates,2456,11761,2001,1,88,,Pre On-Market,,,http://www.redfin.com/OH/Eastlake/32852-Kimberly-Ct-44095/home/77667879,Yes MLS,4117797,N,Y,41.6393154,-81.4545703
MLS Listing,,Single Family Residential,28618 Forest Rd,Willowick,OH,44095,139900,3,1.5,East Shore Estates,1316,7405,1959,1,106,,Active,,,http://www.redfin.com/OH/Willowick/28618-Forest-Rd-44095/home/76041826,Yes MLS,4118915,N,Y,41.6242048,-81.485075
MLS Listing,,Single Family Residential,709 Woodstock Rd,Eastlake,OH,44095,115000,3,1.0,Eastlake,1440,,1965,1,80,,Active,,,http://www.redfin.com/OH/Eastlake/709-Woodstock-Rd-44095/home/77668755,Yes MLS,4118253,N,Y,41.653131,-81.4546561
MLS Listing,,Single Family Residential,31103 Royalview Dr,Willowick,OH,44095,74900,3,1.5,Bayridge,1008,9147,1955,1,74,,Active,,,http://www.redfin.com/OH/Willowick/31103-Royalview-Dr-44095/home/77661389,Yes MLS,4118687,N,Y,41.6331467,-81.4621217
MLS Listing,,Single Family Residential,265 E 288,Willowick,OH,44095,95900,3,1.0,Willowick,,,1953,2,,,Active,,,http://www.redfin.com/OH/Willowick/265-E-288th-St-44095/home/66557022,Yes MLS,4118575,N,Y,41.6279184,-81.4823265
MLS Listing,,Single Family Residential,107 Stevens Blvd,Lakeline,OH,44095,110000,3,1.0,Lakeline,,7840,1941,2,,,Active,,,http://www.redfin.com/OH/Lakeline/107-Stevens-Blvd-44095/home/66256790,Yes MLS,4118449,N,Y,41.6579427,-81.4548706
MLS Listing,,Single Family Residential,33 E Shore Blvd,Timberlake,OH,44095,209900,4,2.5,Timberlake,2027,10018,1972,2,104,,Active,,,http://www.redfin.com/OH/Timberlake/33-E-Shore-Blvd-44095/home/77667713,Yes MLS,4118483,N,Y,41.6662864,-81.4459453
