School,Latitude,Longitude
Hope Academy Northwest Campus,41.4821801,-81.7671663
Road to Success Academy,40.0358115,-82.9646716
Constellation Schools: Westpark Community Elementary,41.4515782,-81.8121372
Lighthouse Community Sch Inc,39.162775,-84.3904381
Polly Fox Academy Community School,0,0
King Academy Community School,39.113376,-84.5202937
Wings Academy 2,0,0
Central High School,39.9577849,-83.0228572
Emerson Academy,39.7517066,-84.1809043
Summit Academy Transition High School Dayton,39.8161696,-84.2327945
George V. Voinovich Reclamation Academy,0,0
Frederick Douglass Reclamation Academy,41.4680682,-81.7071562
Summit Academy-Youngstown,41.1058595,-80.7009095
Capital High School,39.9450884,-83.0360216
Rise & Shine Academy,41.6819264,-83.5432047
Patriot Preparatory Academy,39.9492517,-82.8641465
University of Cleveland Preparatory School,41.5057799,-81.6588129
Cornerstone Academy Community School,40.1135495,-82.8270499
Bridge Gate Community School,39.9429081,-83.1068793
Summit Academy Community School Alternative Learners-Lorain,41.4364517,-82.1204417
Middlebury Academy,41.0728837,-81.4878712
Mound Street Military Careers Academy,39.7508199,-84.2086362
Lorain K-12 Digital Academy,0,0
Springfield Preparatory and Fitness Academy,39.9046824,-83.7950013
Euclid Preparatory School,41.5759101,-81.521319
Northland Preparatory and Fitness Academy,40.0594594,-82.9682599
Summit Academy Community School - Painesville,41.7306638,-81.2438391
Imagine Woodbury Academy,0,0
East Branch Preparatory AcademydbaWright Preparatory Academy,40.8127973,-81.3430326
Youngstown Academy of Excellence,41.0914684,-80.6224149
Urban Early College Network,39.8000154,-84.2402276
Richard Allen Academy III,0,0
Horizon Science Academy Columbus,40.0621578,-82.9910615
Life Skills Center Of Toledo,41.6592142,-83.5469095
Buckeye Preparatory Academy,0,0
Greater Summit County Early Learning Center,41.0163939,-81.4627437
"Intergenerational School, The",41.4847552,-81.6057245
Pleasant Community Digital,0,0
Findlay Digital Academy,41.0399658,-83.6691676
Quaker Digital Academy,40.4801277,-81.4412891
Horizon Science Academy Elementary School,40.0585636,-82.9438328
Stambaugh Charter Academy,41.1160104,-80.6967071
L. Hollingworth School for Talented and Gifted,41.6384228,-83.5304239
Summit Academy Akron Middle School,41.0965385,-81.5701505
Horizon Science Academy-Cleveland Middle School,41.5304953,-81.6477455
Mahoning County High School,41.113476,-80.5948049
Phoenix Academy Community School,0,0
Interactive Media & Construction (IMAC),40.7649324,-82.552209
KIPP Columbus,40.0290804,-82.9394727
Kids Care Elementary,40.0378858,-82.9458705
Glass City Academy,41.6521528,-83.5427468
Orchard Park Academy,41.4612753,-81.7955303
Great Western Academy,39.9604073,-83.0927265
Washington Park Community School,41.4492224,-81.6585892
Renaissance Academy,39.9422475,-82.8872361
Hope Academy Northcoast,41.4415513,-81.6397684
Hardin Community School,40.6431801,-83.6036602
Tomorrow Center,40.4928942,-82.8795604
Pathway School of Discovery,39.7955842,-84.1564216
North Central Academy,41.111992,-83.2133717
Toledo School For The Arts,41.6565351,-83.5434129
Alliance Academy of Cincinnati,39.1421025,-84.470164
Summit Academy Secondary School - Middletown,39.5112456,-84.3446536
Franklinton Preparatory Academy,39.9594463,-83.0342076
T.C.P. World Academy,39.1809913,-84.4268836
Colonial Prep Academy,0,0
Mound Street Health Careers Academy,0,0
