School,Latitude,Longitude
Urbana Elementary School,40.086505,-83.7563861
SPRINGFIELD SCHOOL OF INNOVATION,39.9133984,-83.8001874
Fairwood Alternative Elementary School,39.9521334,-82.9529284
Fremont Middle School,41.3617168,-83.1260384
Beavercreek High School,39.7217118,-84.0332145
Bloom Carroll Intermediate School,39.8026766,-82.8096538
College Corner Union Elementary School,39.5716199,-84.8156601
East Clark,41.555614,-81.5799499
Arts Impact Middle School (Aims) ,39.9739148,-82.9863754
Fishcreek Elementary School,41.1879247,-81.4273404
Alliance High School,40.9111438,-81.1115052
Avon East Elementary School,41.4459331,-81.9902103
Brookfield High School,41.2257896,-80.5614223
Chesapeake High School,38.4227854,-82.4851491
Chippewa Elementary School,41.3270981,-81.6051334
Springboro High School,39.5315519,-84.2450019
Demmitt Elementary School,39.891988,-84.1768952
Fairlawn Elementary School,40.2664553,-84.0769745
Bellevue High School,41.2816479,-82.8433632
Bolton,41.494656,-81.619056
Bristol Elementary School,41.3868144,-80.8667655
Bryan Middle School/High School,41.4575654,-84.5674214
Bluffton Elementary School,40.8945821,-83.8929345
Chapelfield Elementary School,40.0267781,-82.8868576
Cloverleaf High School,41.0406586,-81.9639696
Bloom Carroll Primary School,39.7962256,-82.7003153
Newton Falls Middle School,41.1775205,-80.9569514
Chagrin Falls High School,41.4292662,-81.3796157
Edgewood Elementary School,40.2350248,-83.3820273
Fairbanks High School,40.1615231,-83.3917154
Fairborn Primary School,39.7913121,-84.0261611
Columbus Scioto 6-12,39.901558,-82.997692
Seneca East High School,41.0788637,-82.9154244
Avondale Elementary School,40.8314881,-81.4195058
Batavia Elementary School,39.0754517,-84.1249494
Bethel-Tate Middle School,38.9644509,-84.094176
Brecksville-Broadview Heights Middle School,41.3293738,-81.642606
Brunswick High School,41.2420617,-81.816942
Burton Elementary School,41.4686856,-81.1488206
Cardington-Lincoln High School,40.4947631,-82.8820637
Cleveland Elementary School,39.7451501,-84.1502297
Columbia Middle School,41.3160515,-81.9271743
Covington High School,40.1191699,-84.342006
E A Powell Elementary School,41.1873937,-83.6780372
Martins Ferry Middle School,40.1107802,-80.7270172
Fairmount Early Childhood Center,41.4873091,-81.5029761
Felicity-Franklin Local  Elementary School,38.8354209,-84.098302
Firestone Park Elementary School,41.0426554,-81.5156935
Buckeye West Elementary School,40.2209666,-80.8707436
Ashland High School,40.8545356,-82.3253498
Arlington Elementary School,41.6263357,-83.5861911
Beacon Elementary School,40.0259414,-83.1332359
Wellston Intermediate School,39.1364571,-82.5359548
Eastern High School,38.9550697,-83.7382787
Genoa Elementary,41.5654008,-83.3585376
Apple Creek Elementary School,40.7509726,-81.8385808
Champion Central Elementary School,41.3166163,-80.8492621
Indian Hill Elementary School,39.1767745,-84.3446092
Prospect Elementary School,41.15837,-80.687712
Elda Elementary School,39.3196203,-84.6403375
Erieview Elementary School,41.5113074,-82.0121874
Bath Elementary School,40.7744989,-84.0595041
Bellaire High School,40.0175061,-80.7421419
Betty Jane Community Learning Center,41.0759598,-81.4429864
Butler High School,39.8845888,-84.1973884
Carlisle High School,39.5880183,-84.3224733
Continental Local Elementary School,41.1068795,-84.2640003
David Smith Elementary School,40.3101871,-83.0726292
Fairfield High School,39.336669,-84.5180408
Fredericksburg Elementary School,40.6756208,-81.8714539
Ashville Elementary School,39.7154993,-82.9477448
Bedford High School,41.403548,-81.526911
East Knox Junior/Senior High School,40.4093109,-82.3294077
Edison High School,41.3009226,-82.5738477
Euclid High School,41.5965807,-81.5255389
Allen Elementary School,40.7844379,-81.36426
Arcanum Elementary School,39.9953422,-84.5488362
Bradford Elementary School,40.141276,-84.4327746
Brookville High School,39.8282423,-84.420385
W. S. Stinson Elementary School,40.9006245,-81.6063055
Coshocton High School,40.2582311,-81.8456308
Delhi Middle School,39.1046098,-84.6151242
Dunbar Elementary School,41.0802721,-81.4055427
East Community Learning Center,41.0640144,-81.467892
Eastview Elementary School,40.7931667,-82.4580916
Miami East Elementary,40.087454,-84.114266
Coventry Middle School,41.0098703,-81.5484669
Fairfield Freshman High School,39.338145,-84.5183232
Sandusky Middle School,41.4541264,-82.7098014
Boulevard Elementary School,41.5122714,-81.566241
Copley High School,41.112801,-81.649346
Primary Elementary School,40.7396309,-82.8006758
Dike School of Arts,41.4907618,-81.6470444
Celina Primary School,40.5528667,-84.5662553
Buckeye Valley Local High School,40.348691,-83.091603
Clarendon Elementary School,40.8034835,-81.4030419
Colerain Elementary School,40.0541933,-83.0068526
Anna Elementary School,40.401433,-84.1754437
Berwick Alternative K-8 School,39.9390507,-82.9243562
Caledonia Elementary School,41.5352207,-81.5619564
Canterbury Elementary School,41.4915602,-81.5504726
Central Elementary School,40.4935684,-81.44631
Forest Hill Community Learning Center,41.0990156,-81.4944493
Franklin Heights High School,39.9326276,-83.0918838
Arrowhead Primary Elementary School,41.091079,-81.63909
Bowsher High School,41.624538,-83.5985032
Buckeye North Elementary School,40.2613118,-80.6327865
C R Towslee Elementary School,41.2393174,-81.8134694
Danbury Elementary School,41.536318,-82.754286
Joshua Dixon Elementary School,40.8945166,-80.6976481
East Elementary School,39.3346962,-82.0945845
Brookfield Middle School,41.2257896,-80.5614223
Clark School,41.4705078,-81.723948
Croghan Elementary School,41.3468622,-83.0954008
Dover Avenue Elementary School,40.5327144,-81.4856935
East Clinton High School,39.418323,-83.648484
Edgerton Elementary School,41.455736,-84.7464099
Evergreen High School,41.680245,-83.973045
Sharpsburg Primary ,39.1561686,-84.4494179
Avon Early Learning Center,41.4449531,-82.0272483
Bellevue Middle School,41.2856306,-82.8383978
Chippewa Jr./Sr. High School,40.9651188,-81.7051283
Conneaut Elementary School,41.37986,-83.662354
Covedale School,39.1242787,-84.6071412
Denison,41.451638,-81.704175
East Elementary School,40.529538,-81.4683639
Ellet High School,41.0532797,-81.4329501
Fairlawn High School,40.2664553,-84.0769745
Bristol High School,41.3868144,-80.8667655
Chardon High School,41.591074,-81.199946
Crestview High School,40.8453988,-80.6687759
Amherst Elementary School,40.8353669,-81.5146388
Brook Park Memorial Elementary School,41.396311,-81.818502
Perry Elementary School,41.7734623,-81.1362883
Brookwood Elementary School,39.419375,-84.606241
Edgewood High School,41.8858812,-80.7309697
Elmwood High School,41.255188,-83.5520465
Ayersville Elementary School,41.2374156,-84.2843468
Belden Elementary School,40.7972156,-81.3482893
Belmont High School,39.7382414,-84.1561893
Cox Elementary School,39.686508,-83.945198
Patrick Henry High School,41.22599,-83.9960838
Fort Recovery Middle School,40.407706,-84.7712933
Arlington Local Elementary School,40.889062,-83.6522985
Birmingham Elementary School,41.6626128,-83.4950652
Charles L Warstler Elementary School,40.865696,-81.33766
Dalton Elementary School,40.8046042,-81.6982862
Dunloe Elementary School,39.9112309,-82.857817
Eastwood I High School,41.4277011,-83.4901203
Etna Elementary School,39.9651612,-82.6966185
Finneytown Secondary Campus  ,39.229156,-84.51559
Allen East High School,40.733796,-83.931273
Oakwood Elementary School,41.09654,-84.380263
Bath High School,40.7730096,-84.0522585
Clay High School,41.6529445,-83.4127169
Northwest Primary School,40.9006245,-81.6063055
Mississinawa Valley Elementary School,40.2218051,-84.7468401
North Royalton High School,41.3090867,-81.7334031
Fairfield Local High School,39.3288078,-83.5466597
Field High School,41.0681459,-81.345074
Bellbrook Middle School,39.6610788,-84.0718613
Beverly Elementary School,41.6016983,-83.6094822
Bluffton High School,40.892978,-83.8938452
Fredericktown Elementary School,40.475551,-82.553731
Chagrin Falls Middle School,41.426818,-81.380651
Beatty Park Elementary School,39.9763356,-82.9714937
Midview North Elementary School,41.299102,-82.0576509
Cardington-Lincoln Elementary School,40.4961687,-82.8919429
Chestnut Elementary School,41.7046252,-81.255411
Echo Hills Elementary School,41.1812197,-81.4258324
Evamere Elementary School,41.2430434,-81.4285565
Fort Island Primary Elementary School,41.1203292,-81.6258814
Ashland Middle School,40.8522252,-82.3252376
Barnesville Elementary School,39.9887071,-81.1786256
Bay Middle School,41.484162,-81.926611
Edison Middle School (formerly Berlin-Milan Middle School),41.3238657,-82.4913444
E J Blott Elementary School,41.1573084,-80.6566526
Bradford High School,40.1414277,-84.4327573
Paul C Bunn Elementary School,41.047691,-80.623403
Cherrington Elementary School,40.114384,-82.907953
Cuyahoga Falls High School,41.1394062,-81.4874655
Carrollton Elementary School,40.5732645,-81.0825369
Dunbar Early College High School,39.734241,-84.232103
Eastview Elementary School,41.5036833,-81.9895449
Elizabeth Price Elementary School,41.1353926,-81.4644311
Fairland East Elementary School,38.4621523,-82.3189457
Valley View Intermediate School,39.6297558,-84.37203
Struthers Middle School,41.0487023,-80.6029422
Franklin Elementary School,41.0130153,-81.7254439
Carylwood Intermediate School,41.375817,-81.5162786
Champion High School,41.316068,-80.8512961
Colonial Hills Elementary School,40.0823425,-83.0085248
Alexander Elementary School,39.2257046,-82.2066378
Anna High School,40.4014401,-84.1753203
Alden R Brown Elementary School,39.5861169,-84.3222264
Celina High School,40.5528667,-84.5662553
Central Elementary School,40.675213,-82.5845963
Watkins Elementary School,39.9054017,-82.9542727
Colerain Elementary School,39.2397282,-84.6143463
Continental Local High School,41.1068795,-84.2640003
Crim Elementary School,41.3705239,-83.6366303
East Technical High School,41.4924064,-81.6499118
Edison Middle School,40.789897,-81.464433
Athens High School,39.3724446,-82.1280038
Barrington Road Elementary School,40.000141,-83.056566
Burlington Elementary School,38.4151771,-82.5061819
Canton South High School,40.7484989,-81.3717701
Concord Elementary School,40.04003,-84.2613547
Danbury High School,41.536318,-82.754286
Addaville Elementary School,38.9053278,-82.1720695
Pugliese Elementary West,40.3712088,-80.6700444
Arcanum High School,39.9953422,-84.5488362
Amelia Elementary School,39.0302296,-84.2152517
Anthony Wayne Elementary School,39.5533841,-84.3119532
Beavertown Elementary School,39.7073646,-84.14145
Benjamin Franklin ,41.4344395,-81.6938772
South Webster Jr/Sr High School,38.8172406,-82.7341642
College Hill Fundamental Academy,39.1980434,-84.5482946
Copley-Fairlawn Middle School,41.096272,-81.6430745
Crooksville High School,39.7444267,-82.0884183
Dawson-Bryant High School,38.5031842,-82.6458721
Edgerton High School,41.455736,-84.7464099
Edon Elementary School,41.558151,-84.781086
Englewood Hills Elementary School,39.859566,-84.3046444
Fairview High School,41.34907,-84.552018
Olmsted Falls Intermediate Building,41.3698494,-81.9351292
Avon High School,41.444481,-82.036634
Bond Hill Academy,39.176674,-84.471655
Circleville High School,39.6077965,-82.9218418
Conneaut High School,41.9467423,-80.5617262
Darbydale Elementary School,39.8535403,-83.1866255
Dentzler Elementary School,41.3714427,-81.7105524
Hollingsworth East Elementary School,39.749397,-84.626022
Fairless High School,40.7038755,-81.584482
Bryden Elementary School,41.4691187,-81.5003105
Chardon Middle School,41.5905546,-81.2044572
North College Hill Elementary School,39.2186014,-84.5547803
Crestview High School,40.9167516,-84.7016126
Eaton Middle School,39.7329385,-84.6455631
Barber Community Learning Center,41.0827049,-81.474734
Edgewood Elementary School,39.4753869,-84.4880481
Bloom-Carroll High School,39.7917179,-82.6958339
Columbian High School,41.1090652,-83.1797857
Wallace H Braden Middle School,41.8735078,-80.7710613
Elmwood Place Elementary School,39.1880581,-84.4880429
Ben Franklin Elementary School,40.044354,-82.3969
Ayersville High School,41.2374156,-84.2843468
Damascus Elementary,40.9094662,-80.9549773
Woodridge Middle School,41.1940806,-81.508993
Brent Elementary School,39.2269099,-84.511062
DeVeaux Elementary School,41.6933002,-83.6078889
River's Edge Montessori Elementary School,39.7666537,-84.1909998
Almira,41.4616658,-81.7516976
Beallsville Elementary School,39.8469221,-81.0239466
Samuel Bissell Elementary School,41.3415027,-81.4643581
Britton Elementary School,40.051707,-83.136836
Willard Elementary School ,41.0460886,-82.7297708
Crestwood Elementary School,41.3977702,-82.1431854
Donnell Middle School,41.0263763,-83.6532127
Durling Middle School,41.4273333,-82.1666892
Lee Eaton Elementary School,41.3365488,-81.5271093
Etna Road Elementary School,39.963493,-82.8790099
Firelands Elementary School,41.3346133,-82.2986343
Frontier High School,39.4465993,-81.1435293
Bellbrook High School,39.652728,-84.0677985
Beaver Local Elementary School,40.7106482,-80.6303345
Centerville High School,39.6269909,-84.1482953
Chestnut Ridge Elementary School,40.5608106,-81.7994697
Columbus Grove High School,40.9216636,-84.0560854
Dawson-Bryant Elementary School,38.5040246,-82.5818815
Elgin High School,40.569214,-83.244939
Bremen Elementary School,39.6996378,-82.4338243
Fredericktown High School,40.475551,-82.553731
Wapakoneta Middle School,40.5732802,-84.2013633
Byesville Elementary School,39.970402,-81.53538
Chalker High School,41.2840122,-80.9596478
Coy Elementary School,41.6294454,-83.4611939
Amanda-Clearcreek Elementary School,39.6496392,-82.7348828
Columbus Spanish Immersion K-6 School,40.0474781,-82.9751054
Broadway Elementary School,39.9595876,-84.1753529
Brush High School,41.5220323,-81.5052972
Carey High School,40.9453476,-83.3872613
Cedarville Elementary School,39.7479302,-83.8049294
Lima North Middle School,40.7579544,-84.109371
Rosa Parks Elementary School,41.6832293,-83.5519042
Clear Fork High School,40.6102028,-82.474768
East Elementary School,40.8320131,-83.2762906
Craddock Elementary School,41.3161928,-81.3415477
Berne Union Elementary School,39.629482,-82.545978
Canal Winchester High School,39.8367474,-82.8131419
Delta Elementary School,41.5796901,-83.9944148
Rossford Elementary School,41.5907521,-83.5681234
Revere Middle School,41.1987005,-81.617037
Fairland High School,38.4481263,-82.3568864
Fremont Ross High School,41.3624752,-83.1235996
Applewood Elementary School,41.2246688,-81.8267911
Bath Middle School,40.7735443,-84.0549833
Beverly-Center Elementary School,39.5485269,-81.6292811
Champion Middle School,39.9717191,-82.9704018
Creekview Elementary School,39.5051605,-84.3433831
Currie Elementary School,41.308427,-80.687254
Driscoll Elementary School,39.6619855,-84.1488724
Field Middle School,41.0673184,-81.3437587
Albion Elementary School,41.3372519,-81.7558851
Ansonia Elementary School,40.2156648,-84.6288493
Bobby F. Grigsby Intermediate School,39.590522,-84.320452
Wadsworth Middle School,41.024034,-81.7038648
Clearmount Elementary School,40.8740659,-81.3908257
Colerain High School,39.2323645,-84.6026755
Coventry High School,41.0064399,-81.553558
Johnstown Elementary School,40.1626384,-82.6844
Fayetteville-Perry Elementary School,39.1820825,-83.9318845
Beechwood Elementary School,39.965955,-82.894712
Bethel Elementary School,39.9190184,-84.0862684
Summerside Elementary,39.1116885,-84.2836944
Daniel E Morgan School,41.516936,-81.625275
Artemus Ward,41.436373,-81.7901858
Archbold Elementary School,41.5162366,-84.3100845
Lakeview Elementary School,41.2927766,-80.7797178
Big Walnut High School,40.234464,-82.858173
Blue Ash Elementary,39.2317862,-84.3990573
Cuyahoga Hts Elementary School,41.4261927,-81.6436467
Duncan Falls Elementary School,39.877251,-81.911961
Highland Elementary School,39.4147875,-84.5855349
Alexander Jr. / Sr. High School,39.2251292,-82.2031908
Anthony Wayne High School,41.533359,-83.7791617
Waterloo Elementary School,41.028547,-81.193022
Batavia High School,39.0732811,-84.1290199
Conotton Valley Elementary,40.46303,-81.218821
Collinwood High School,41.5530512,-81.574081
Copopa Elementary School,41.3160267,-81.9276308
Dawson-Bryant Middle School,38.5031842,-82.6458721
Dover High School,40.5233054,-81.4817046
Jesse Beer - Madison Early Childhood Learning Center,40.7551134,-82.4879935
Easthaven Elementary School,39.9237627,-82.9068707
Indian Valley Intermediate School,39.8640471,-83.9355215
Fairfield Elementary School,41.5798441,-83.6509704
Felicity-Franklin Local  High School,38.8354209,-84.098302
Fitch High School,41.092355,-80.739023
Gilbert A. Dater High School,39.124978,-84.601302
East Columbus Elementary School,39.9864917,-82.9211867
Forest Park Elementary School,40.0799294,-82.9818242
Amity Elementary School,39.2084597,-84.3934161
Napoleon Elementary School,41.3891519,-84.1534786
Charles A Mooney School,41.435315,-81.7058114
McPherson Middle School,41.288101,-82.969655
Crestview High School,40.8907203,-82.4573576
Ely Elementary School,41.3760502,-82.0949248
Barberton High School,41.0261589,-81.6074901
Berkshire High School,41.4706089,-81.1450995
Brookside Elementary School,40.1014829,-83.0577834
Brook Intermediate School,39.9495601,-81.5585947
Ironton Middle School,38.5531855,-82.7066391
Centerburg Elementary School,40.299446,-82.696083
Columbiana High School,40.88137,-80.6788121
Fallen Timbers Middle School,41.5297256,-83.7795764
Botkins Elementary School,40.4688865,-84.1796144
Buckeye Elementary School,41.7007891,-81.2628875
Butler Elementary School,40.590616,-82.429053
Mt. Pleasant Elementary School,39.7216162,-82.5999446
Franklin Elementary School,40.8462728,-84.336621
Adena High School,39.4156613,-83.1946156
Alpine Elementary School,40.095578,-82.9737619
Arlington Local High School,40.889062,-83.6522985
Avon Lake High School,41.5082601,-82.0163606
Beallsville High School,39.8476907,-81.0408565
Bellville Elementary School,40.618115,-82.508222
Broadleigh Elementary School,39.9752972,-82.9211019
Caldwell High School,39.7510268,-81.5177256
Wellston Middle School,39.1364571,-82.5359548
Charles W Eliot  School,41.4493786,-81.5532449
Circleville Middle School,39.6076253,-82.9249862
Crestwood High School,41.2887917,-81.2259249
Donnelsville Elementary School,39.9195001,-83.9438829
Western Reserve Elementary School,41.0254832,-80.9130621
Emerson Elementary School,40.127319,-82.928815
Euclid Central Middle School,41.5696719,-81.5361586
Fairmoor Elementary School,39.9618519,-82.9119992
Firelands High School,41.3368059,-82.2988039
Boardman Glenwood Junior High,41.0134,-80.669584
Central Trail Elementary School,41.6934409,-83.7638938
Dalton High School,40.8035076,-81.6959482
Defiance Middle School,41.2640775,-84.3596269
Fairfield Union High School,39.7543593,-82.4669832
R B Chamberlin Middle School,41.3212197,-81.4559647
Cranbrook Elementary School,40.0247332,-83.0388647
East Canton Elementary School,40.7893435,-81.2791758
Amanda Elementary School,39.4789856,-84.4079922
Babeck Early Childhood School,39.4734756,-84.4577341
Beaver Local Middle School,40.7106482,-80.6303345
Blairwood Elementary School,39.728167,-84.27352
Cedarville High School,39.7479302,-83.8049294
Crooksville Middle School,39.7406737,-82.1008059
Wauseon Elementary School,41.5517049,-84.1306236
Evendale Elementary School,39.254282,-84.399666
Fairport Harding High School,41.7547211,-81.2726964
Rittman Middle School,40.9754727,-81.796216
Austinburg Elementary School,41.770351,-80.86094
Bolich Middle School,41.1453945,-81.5002318
Pike-Delta-York High School,41.5827313,-84.0000508
Eakin Elementary School,39.9398501,-83.0991254
Fairland Middle School,38.4444149,-82.357954
Arcadia Elementary School,41.1064685,-83.5150996
Bauer Elementary School,39.6512427,-84.2257497
Beverly Gardens Elementary School,39.7652049,-84.1060907
The Bridgeport School District - High School,40.0691947,-80.7773807
Champion Middle School,41.3166163,-80.8492621
Crestline High School,40.7991935,-82.7428476
West Muskingum Elementary School,39.9571741,-82.0876083
Claymont Elementary School,40.401372,-81.341453
Ervin Carlisle Elementary School,40.2944345,-83.0378832
Winton Woods Primary North,39.2701822,-84.510667
Columbia Elementary School,40.3802838,-82.4953683
Cookson Elementary School,40.046906,-84.185114
Daw Elementary School,40.6040788,-80.6487327
Memorial School,41.5710747,-81.5762658
East Linden Elementary School,40.020086,-82.9480526
Eastern High School,39.1222543,-81.8826132
Niles Middle School,41.1724982,-80.764222
Fayetteville-Perry High School,39.1836777,-83.931336
Brantwood Elementary School,39.8110222,-84.1407928
Wauseon Middle School,41.5533712,-84.122651
Xenia Preschool,39.6904183,-83.9265371
Cuyahoga Hts High School,41.4277357,-81.6435526
Archbold High School,41.516075,-84.313563
Brown Elementary School,40.0005882,-83.2012362
Case ,41.5138443,-81.6614231
Central Primary School,41.3902574,-81.5311005
Philo Junior High School,39.8625117,-81.9102254
Eastwood Elementary School,41.2922314,-82.2096705
Findlay High School,41.0566539,-83.6659271
French Run Elementary School,39.9594087,-82.7986615
Bowling Green High School,41.3874566,-83.6572849
Brooklyn High School,41.4307536,-81.749731
Buckskin Elementary School,39.3359619,-83.3099764
Cork Elementary School,41.732213,-80.953886
Dowds Elementary School,40.8687619,-82.6469153
Eastlake Middle School,41.6742152,-81.422812
Franklin Monroe Elementary School,39.981471,-84.48178
Frazer Elementary School,40.841606,-81.373983
Ansonia High School,40.2156648,-84.6288493
Bascom Elementary School,41.254383,-80.874059
Reading Primary Elementary School,39.2207937,-84.4265901
Clearview High School,41.4256157,-82.1643095
Crissey Elementary School,41.6104602,-83.7626127
Arthur Road Elementary School,41.3716704,-81.441436
East Palestine Elementary School,40.8387802,-80.5443428
Chase STEM Academy,41.6841254,-83.4962733
Chillicothe High School,39.3420113,-82.9884027
Clay High School,38.8039861,-82.9822441
Clyde High School,41.290719,-82.987296
Conesville Elementary School,40.1881242,-81.8941735
Danville Elementary School,40.4482454,-82.2638465
East Elementary School,40.2747341,-81.6035918
Elyria High School,41.3619425,-82.109494
Western Reserve Middle School,41.0254832,-80.9130621
LaBrae Intermediate School,41.2540512,-80.8740381
Brookside High School,41.4690558,-82.0958582
Columbus Intermediate School,41.400992,-81.511835
Franklin Elementary School,40.782731,-81.506719
Carey Elementary School,40.9453476,-83.3872613
